Stock,Accumulation/Distribution Value,Stocks_Ranked
UPS,20.81,1.0
FAST,15.06,2.0
KMX,14.11,3.0
ADSK,13.55,4.0
PEG,11.89,5.0
LNC,9.18,6.0
FIS,8.89,7.0
TGT,8.16,8.0
AAPL,8.12,9.0
FCX,7.6,10.0
CAH,7.32,11.0
MET,6.86,12.0
ROST,6.71,13.0
ATVI,6.6,14.0
OXY,6.41,15.0
ETSY,6.1,16.0
LVS,5.28,17.0
ABBV,5.18,18.0
UAL,5.16,19.0
HAL,4.77,20.0
OKE,4.66,21.0
PYPL,4.34,22.0
PPL,3.95,23.0
DLTR,3.86,24.0
CVS,3.54,25.0
HON,3.46,26.0
ADI,3.3,27.0
AMD,3.09,28.0
ALK,3.0,29.0
AMZN,2.82,30.0
EMR,2.81,31.0
WYNN,2.65,32.0
MRK,2.47,33.0
PENN,2.17,34.0
SCHW,2.05,35.0
DVN,1.66,36.0
JNPR,1.58,37.0
AEP,1.45,38.0
INTC,1.23,39.0
VTRS,1.2,40.0
AIG,1.17,41.0
WBD,1.11,42.0
KO,1.06,43.0
CZR,1.0,44.0
GIS,0.86,45.0
NVDA,0.83,46.0
ZTS,0.82,47.0
C,0.55,48.0
PEP,0.48,49.5
KEY,0.48,49.5
CARR,0.4,51.0
CTRA,0.35,52.0
SBNY,-0.06,53.0
CTVA,-0.09,54.0
TJX,-0.11,55.0
LOW,-0.13,56.0
BA,-0.16,57.0
LUV,-0.41,58.0
SBUX,-0.42,59.0
KHC,-0.44,60.0
COF,-0.62,61.0
MMM,-0.66,62.0
CNP,-0.75,63.0
LYB,-0.76,64.0
FB,-0.93,65.0
PRU,-0.95,66.0
HD,-0.99,67.0
NOW,-1.1,68.5
AMGN,-1.1,68.5
EBAY,-1.13,70.5
BMY,-1.13,70.5
SHW,-1.22,72.0
EIX,-1.29,73.0
XRAY,-1.33,74.0
IFF,-1.6,75.0
BEN,-1.63,76.0
UA,-1.65,77.0
SYF,-1.7,78.0
SYY,-1.73,79.0
PEAK,-1.75,80.0
CTSH,-2.02,81.0
PSX,-2.04,82.0
JCI,-2.05,83.0
TROW,-2.32,84.0
VFC,-2.47,85.0
DUK,-2.64,86.0
BK,-2.65,87.0
AAL,-2.72,88.0
DHR,-2.94,89.0
NEE,-2.96,90.0
V,-2.99,91.0
APTV,-3.03,92.0
EW,-3.06,93.0
RCL,-3.17,94.0
FITB,-3.3,95.0
IR,-3.32,96.0
CNC,-3.36,97.0
IP,-3.38,98.0
NWL,-3.41,99.0
JPM,-3.44,100.0
WDC,-3.52,101.0
DRE,-3.54,102.0
DG,-3.56,103.0
SLB,-3.58,104.0
PHM,-3.66,105.0
VZ,-3.73,106.0
INTU,-3.83,107.0
NUE,-3.88,108.0
IVZ,-3.91,109.0
AMCR,-3.98,110.0
DAL,-4.1,111.0
TXN,-4.13,112.0
MAR,-4.14,113.0
ADM,-4.16,114.0
CVX,-4.17,115.0
F,-4.25,116.0
LLY,-4.3,117.5
NI,-4.3,117.5
CERN,-4.31,119.0
NLSN,-4.34,120.5
BKR,-4.34,120.5
HPE,-4.38,122.0
MS,-4.51,123.0
CBRE,-4.59,124.0
HBAN,-4.73,125.0
UNH,-4.8,126.0
BSX,-4.85,127.0
LEN,-4.87,128.0
ENPH,-5.14,129.0
MAS,-5.3,130.0
XOM,-5.38,131.0
LYV,-5.43,132.0
CSX,-5.6,133.0
O,-5.69,134.0
RF,-5.98,135.0
AXP,-6.11,136.0
STT,-6.12,137.0
CAG,-6.16,138.0
MU,-6.35,139.0
PG,-6.52,140.0
PFE,-6.57,141.0
KMI,-6.59,142.0
GLW,-6.79,143.0
MGM,-6.84,144.0
NWSA,-6.93,145.0
TFC,-7.01,146.0
MRNA,-7.05,147.0
LUMN,-7.07,148.0
WFC,-7.26,149.0
DISH,-7.5,150.0
GOOGL,-7.63,151.0
PLD,-7.71,152.0
EXPE,-7.77,153.0
DHI,-7.98,154.5
FOXA,-7.98,154.5
MDT,-8.03,156.0
HCA,-8.14,157.0
MSFT,-8.31,158.0
HST,-8.34,159.0
ADBE,-8.36,160.0
WMT,-8.42,161.0
COP,-8.63,162.0
AMAT,-8.64,163.0
CAT,-8.68,164.0
EOG,-8.82,165.0
D,-8.94,166.0
SO,-8.95,167.0
TPR,-9.45,168.0
FTV,-9.69,169.0
IBM,-9.84,170.0
FISV,-9.88,171.0
MNST,-10.17,172.0
MA,-10.3,173.0
DXC,-10.46,174.0
PM,-10.52,175.0
HPQ,-10.6,176.0
CME,-11.0,177.0
KR,-11.02,178.0
AVGO,-11.07,179.0
RTX,-11.59,180.0
DIS,-11.67,181.0
USB,-11.91,182.0
PGR,-12.16,183.0
GS,-12.38,184.0
MRO,-12.39,185.0
BWA,-12.99,186.0
ANET,-13.03,187.0
FDX,-13.21,188.0
MOS,-13.92,189.0
TSLA,-13.98,190.0
UAA,-14.01,191.0
HWM,-14.13,192.0
TTWO,-14.2,193.0
XEL,-14.45,194.0
ABT,-14.48,195.0
NXPI,-15.16,196.5
GM,-15.16,196.5
BBWI,-15.22,198.0
WBA,-15.48,199.0
CCL,-16.21,200.0
COST,-16.44,201.0
ORCL,-16.52,202.0
ABC,-16.53,203.0
CFG,-16.83,204.0
CL,-17.17,205.0
LIN,-17.41,206.0
JNJ,-17.54,207.0
CF,-18.76,208.0
DD,-19.25,209.5
SPGI,-19.25,209.5
UNP,-19.44,211.0
CRM,-19.46,212.0
TWTR,-19.77,213.0
NKE,-21.11,214.0
CMCSA,-21.27,215.0
BAC,-21.5,216.0
OTIS,-21.8,217.0
SPG,-21.85,218.0
TMUS,-21.95,219.0
PARA,-22.78,220.0
T,-22.83,221.0
K,-23.31,222.0
NFLX,-23.32,223.0
EXC,-23.41,224.0
NEM,-24.55,225.0
DOW,-25.08,226.0
QCOM,-25.21,227.0
GE,-25.38,228.0
FE,-26.47,229.0
MDLZ,-26.48,230.0
CMS,-26.84,231.0
IPG,-27.73,232.0
MTCH,-28.01,233.0
CDAY,-30.89,234.0
GILD,-31.31,235.0
FANG,-32.49,236.0
NRG,-34.99,237.0
VLO,-35.71,238.0
WMB,-38.11,239.0
MO,-40.45,240.0
APA,-40.9,241.0
MCD,-42.53,242.0
EA,-43.08,243.0
BBY,-45.07,244.0
MPC,-47.12,245.0
ICE,-47.82,246.0
NCLH,-49.32,247.0
WRK,-54.37,248.0
AFL,-56.02,249.0
WY,-74.92,250.0
SWKS,-97.25,251.0
KIM,-113.74,252.0
NLOK,-197.3,253.0
MCHP,-331.43,254.0
CSCO,-357.74,255.0
