Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,81.47,1.0
UPS,31.18,2.0
NUE,13.61,3.0
AAPL,13.22,4.0
MSFT,12.48,5.0
CVS,11.44,6.0
NVDA,11.25,7.0
SCHW,10.91,8.0
O,10.62,9.0
AMD,8.57,10.0
RTX,6.78,11.0
XOM,6.23,12.0
CNC,5.44,13.0
DVN,5.05,14.0
CSX,4.04,15.0
JNJ,3.61,16.0
FCX,3.25,17.0
BAC,2.94,18.0
COP,2.75,19.5
RF,2.75,19.5
WFC,2.55,21.0
CVX,1.7,22.0
PFE,1.36,23.0
HAL,1.03,24.0
KEY,1.01,25.0
AES,0.71,26.0
HBAN,0.7,27.0
MRO,0.36,28.0
APA,-0.07,29.0
KMI,-0.23,30.0
OXY,-0.59,31.0
F,-0.71,32.0
CSCO,-1.23,33.0
CMCSA,-1.25,34.5
EBAY,-1.25,34.5
ORCL,-1.31,36.0
NEM,-1.52,37.0
GM,-1.72,38.0
NEE,-2.03,39.0
VTRS,-2.06,40.0
DISCA,-2.16,41.0
LUMN,-2.27,42.0
IVZ,-2.3,43.0
HPE,-2.39,44.0
WBA,-2.48,45.0
MGM,-2.54,46.0
GE,-3.15,47.0
KHC,-3.43,48.0
ATVI,-3.61,49.0
CTRA,-3.77,50.0
HPQ,-3.89,51.0
MPC,-4.37,52.0
UAA,-4.53,53.0
LVS,-4.63,54.0
KO,-5.63,55.0
T,-5.9,56.0
GLW,-6.35,57.0
INTC,-6.64,58.0
GPS,-6.72,59.0
VZ,-7.03,60.0
AAL,-7.46,61.0
LLY,-7.76,62.0
NCLH,-8.27,63.0
HWM,-8.51,64.0
SYF,-8.88,65.0
CCL,-9.11,66.0
SBUX,-9.64,67.0
C,-9.91,68.0
BMY,-10.0,69.0
FB,-10.27,70.0
VIAC,-10.55,71.0
JPM,-10.68,72.0
UAL,-12.01,73.0
V,-12.11,74.0
QCOM,-12.53,75.0
DAL,-14.02,76.0
MS,-15.78,77.0
MU,-16.94,78.0
WMT,-17.58,79.0
LUV,-18.57,80.0
TJX,-24.02,81.0
AMAT,-26.55,82.0
MRK,-26.71,83.0
MRNA,-29.43,84.0
DIS,-29.65,85.0
LMT,-32.5,86.0
IBM,-36.94,87.0
BA,-91.49,88.0
PYPL,-130.57,89.0
