Stock,Accumulation/Distribution Value,Stocks_Ranked
DUK,20.92,1.0
SPGI,20.72,2.0
MS,12.66,3.0
WY,12.5,4.0
AXP,12.3,5.0
UAL,12.23,6.0
INTC,11.76,7.0
F,11.06,8.0
CDAY,10.03,9.0
D,9.45,10.0
SLB,8.34,11.0
KMX,8.08,12.0
MCHP,7.99,13.0
TPR,6.7,14.0
SBUX,5.86,15.0
FCX,5.74,16.0
DHR,5.7,17.0
JNPR,5.61,18.0
UNP,4.9,19.0
CERN,4.88,20.0
GM,4.6,21.5
PENN,4.6,21.5
JPM,4.4,23.0
CAH,4.33,24.0
WDC,3.81,25.0
GIS,3.75,26.0
O,3.53,27.0
VLO,3.45,28.0
PEP,3.33,29.5
CCL,3.33,29.5
LOW,3.25,31.0
CFG,3.24,32.0
LYB,3.1,33.0
SO,3.06,34.0
ZTS,2.96,35.0
SCHW,2.72,36.0
AAPL,1.91,37.0
JCI,1.89,38.0
BSX,1.82,39.5
ADBE,1.82,39.5
KO,1.78,41.0
RTX,1.59,42.0
NLSN,1.39,43.0
NWSA,1.11,44.0
PYPL,0.75,45.0
MNST,0.56,46.0
EBAY,0.47,47.0
LUV,0.18,48.0
HBAN,0.17,49.0
CAG,0.12,50.5
ADM,0.12,50.5
WMT,0.09,52.5
PARA,0.09,52.5
CTSH,0.07,54.5
QCOM,0.07,54.5
OXY,-0.0,56.0
PGR,-0.13,57.0
DOW,-0.31,58.0
CF,-0.47,59.0
DAL,-0.57,60.0
MOS,-0.75,61.0
UPS,-0.86,62.0
FAST,-0.91,63.0
XOM,-0.93,64.0
CSCO,-0.98,65.5
CRM,-0.98,65.5
MGM,-1.16,67.0
LUMN,-1.22,68.0
TXN,-1.25,69.0
PG,-1.35,70.0
KIM,-1.37,71.0
PLD,-1.45,72.0
PM,-1.49,73.0
EW,-1.74,74.0
AMD,-1.75,75.0
FB,-1.99,76.0
PFE,-2.13,77.0
SYF,-2.24,78.0
UAA,-2.39,79.5
FITB,-2.39,79.5
TGT,-2.46,81.0
ABBV,-2.66,82.0
CNP,-2.78,83.0
BA,-2.88,84.0
MU,-2.95,85.0
NVDA,-3.23,86.0
XEL,-3.42,87.0
BAC,-3.49,88.0
FE,-3.56,89.0
AFL,-3.59,90.0
NFLX,-3.6,91.0
BK,-3.82,92.5
MRNA,-3.82,92.5
COF,-3.9,94.0
HPQ,-3.98,95.0
CMCSA,-4.0,96.0
PFG,-4.02,97.0
NKE,-4.04,98.0
MRO,-4.06,99.0
APA,-4.09,100.0
AMAT,-4.16,101.0
MSFT,-4.18,102.0
KMI,-4.21,103.0
WFC,-4.23,104.0
HPE,-4.25,105.0
NRG,-4.27,106.0
CTVA,-4.44,107.0
V,-4.49,108.0
STX,-4.52,109.0
AAL,-4.54,110.0
LLY,-4.56,111.0
MDT,-4.64,112.0
PNC,-4.68,113.0
KEY,-4.71,114.0
MET,-4.79,115.0
JNJ,-4.83,116.0
TFC,-5.01,117.0
GE,-5.03,118.5
WBD,-5.03,118.5
DIS,-5.08,120.0
EXC,-5.19,121.0
MMM,-5.2,122.0
CNC,-5.22,123.0
WYNN,-5.28,124.0
BMY,-5.35,125.0
FOXA,-5.4,126.0
ROST,-5.63,127.0
ATVI,-5.7,128.0
BBWI,-5.76,129.0
EXPE,-5.89,130.5
WMB,-5.89,130.5
AMGN,-5.99,132.0
FISV,-6.16,133.0
CARR,-6.2,134.5
HST,-6.2,134.5
TWTR,-6.39,136.0
TTWO,-6.67,137.0
EMR,-7.04,138.0
MRK,-7.22,139.0
PSX,-7.35,140.0
IP,-7.47,141.0
ORCL,-7.69,142.0
UA,-7.82,143.0
CL,-8.13,144.0
CTRA,-8.2,145.5
AMCR,-8.2,145.5
HON,-8.33,147.0
PEAK,-8.37,148.0
NI,-8.42,149.0
EIX,-8.85,150.0
HD,-9.1,151.0
VTRS,-9.12,152.0
NEE,-9.15,153.0
EOG,-9.2,154.0
PHM,-9.34,155.0
NLOK,-9.69,156.0
KHC,-9.75,157.0
DHI,-9.9,158.0
MAR,-10.36,159.0
RCL,-10.48,160.0
IBM,-10.52,161.0
ABT,-10.72,162.0
VFC,-11.05,163.0
FANG,-11.19,164.0
NCLH,-11.46,165.0
GLW,-11.74,166.0
BBY,-12.41,167.0
TJX,-12.66,168.0
BKR,-13.05,169.0
T,-13.62,170.0
CAT,-13.75,171.0
WBA,-13.93,172.0
ETN,-14.4,173.0
HAL,-14.96,174.0
AMZN,-16.06,175.5
VZ,-16.06,175.5
COP,-16.54,177.0
USB,-16.87,178.0
TSLA,-17.11,179.0
MO,-17.13,180.0
DISH,-17.42,181.0
BAX,-18.55,182.0
AIG,-18.67,183.0
DRE,-19.22,184.0
C,-19.39,185.0
CSX,-19.61,186.0
ICE,-19.83,187.0
MTCH,-19.94,188.0
MPC,-20.28,189.0
GILD,-20.77,190.0
EA,-21.66,191.0
IVZ,-22.02,192.0
MDLZ,-23.03,193.0
KR,-25.42,194.0
CVS,-26.2,195.0
NUE,-26.7,196.0
NEM,-28.26,197.0
CVX,-30.33,198.0
ETSY,-33.74,199.0
RF,-36.6,200.0
CZR,-37.16,201.0
LVS,-37.67,202.0
DVN,-40.74,203.0
WRK,-45.33,204.0
TMUS,-48.32,205.0
PPL,-218.73,206.0
APTV,-297.19,207.0
