Stock,Accumulation/Distribution Value,Stocks_Ranked
TJX,20.98,1.0
MAR,15.45,2.0
AFL,13.74,3.0
PLD,13.57,4.0
DUK,12.17,5.0
FANG,8.68,6.0
AMAT,8.51,7.0
PSX,8.41,8.0
MDT,7.97,9.0
BK,7.85,10.0
O,7.16,11.0
KHC,6.76,12.0
WYNN,6.32,13.0
TMUS,6.07,14.0
ZTS,6.04,15.0
MSFT,5.32,16.0
JNPR,5.1,17.0
SWKS,5.08,18.0
FCX,4.63,19.0
JCI,4.6,20.0
SHW,4.28,21.0
FOXA,3.9,22.0
NVDA,3.4,23.0
PEAK,3.36,24.0
BAC,3.25,25.0
MNST,3.15,26.0
RCL,3.05,27.0
CVX,2.89,28.0
EA,2.76,29.0
MS,2.68,30.0
BWA,2.48,31.0
NOW,2.31,32.0
SBNY,2.29,33.0
AMGN,1.62,34.0
AMCR,1.61,35.0
MTCH,1.54,36.0
MAS,1.41,37.0
BBY,1.19,38.0
HON,1.16,39.0
CRM,0.99,40.0
RF,0.95,41.0
GM,0.9,42.0
EOG,0.84,43.0
LVS,0.81,44.0
PENN,0.77,45.0
AAPL,0.76,46.0
PPL,0.5,47.0
AEP,0.42,48.0
MO,0.33,49.5
RTX,0.33,49.5
QCOM,0.3,51.0
JNJ,-0.09,52.0
WBA,-0.15,53.5
COP,-0.15,53.5
DLTR,-0.19,55.0
HPE,-0.41,56.0
AMD,-0.43,57.0
GOOGL,-0.47,58.0
K,-0.51,59.0
TXN,-0.55,60.0
DAL,-0.67,61.0
CTSH,-0.79,62.0
EMR,-0.87,63.0
APTV,-0.98,64.0
D,-1.02,65.0
NWL,-1.04,66.0
EBAY,-1.17,67.0
EW,-1.23,68.0
AIG,-1.3,69.5
SYF,-1.3,69.5
F,-1.33,71.0
CCL,-1.34,72.0
USB,-1.36,73.0
VLO,-1.42,74.0
T,-1.65,75.0
CAH,-1.76,76.0
DOW,-1.8,77.0
MMM,-2.04,78.0
GLW,-2.07,79.0
NCLH,-2.12,80.0
HAL,-2.23,81.0
CL,-2.38,82.0
TGT,-2.51,83.0
AMZN,-2.66,84.0
NEM,-2.76,85.0
NFLX,-2.88,86.0
OKE,-2.98,87.0
CAT,-3.11,88.0
DRE,-3.16,89.0
DISH,-3.21,90.0
JPM,-3.25,91.0
DXC,-3.27,92.0
EIX,-3.28,93.0
UNP,-3.36,94.0
STT,-3.44,95.0
XEL,-3.45,96.5
WBD,-3.45,96.5
OTIS,-3.49,98.0
NRG,-3.51,99.0
