Stock,Accumulation/Distribution Value,Stocks_Ranked
AMZN,180.86,1.0
TSLA,140.3,2.0
NFLX,108.94,3.0
UNP,35.79,4.0
NVDA,30.52,5.0
UPS,25.31,6.0
MSFT,25.15,7.0
AAPL,23.79,8.0
SCHW,18.48,9.0
AMD,15.39,10.0
RTX,14.12,11.0
NKE,12.91,12.0
V,11.02,13.0
MTCH,10.52,14.0
COP,9.55,15.0
TFC,9.0,16.0
USB,8.29,17.0
DVN,7.4,18.0
VLO,6.82,19.0
CVX,6.65,20.0
XOM,6.54,21.0
CFG,6.01,22.0
BAC,4.48,23.0
ORCL,4.06,24.0
RF,4.02,25.0
GE,3.73,26.0
PG,3.46,27.0
WFC,3.1,28.0
CVS,3.08,29.0
CSX,3.04,30.0
BK,2.2,31.0
APA,1.99,32.0
FCX,1.73,33.0
MRO,1.69,34.0
HAL,1.6,35.0
KEY,1.46,36.0
PBCT,1.14,37.0
HBAN,1.07,38.0
JPM,1.04,39.0
GM,0.65,40.0
F,0.54,41.0
WMB,0.23,42.0
CSCO,0.08,43.0
OXY,0.06,44.5
INTC,0.06,44.5
KMI,-0.34,46.0
MPC,-0.56,47.0
WDC,-0.66,48.0
VFC,-1.2,49.0
EBAY,-1.39,50.0
HPE,-1.64,51.0
LUMN,-1.7,52.0
WBA,-2.09,53.0
VTRS,-2.15,54.0
HST,-2.24,55.0
ATVI,-2.39,56.0
IVZ,-2.4,57.0
HPQ,-3.08,58.0
WY,-3.1,59.0
CTRA,-3.63,60.0
AXP,-3.77,61.0
DISCA,-3.83,62.0
CMCSA,-3.89,63.0
PFE,-4.38,64.0
BSX,-4.41,65.0
NEM,-4.61,66.0
NCLH,-4.63,67.0
LVS,-5.03,68.0
C,-5.1,69.0
KHC,-5.32,70.0
AAL,-5.77,71.0
GPS,-5.96,72.0
UAL,-6.29,73.0
SYF,-6.39,74.0
CCL,-6.85,75.0
T,-7.24,76.5
QCOM,-7.24,76.5
VZ,-7.25,78.0
CL,-7.39,79.0
KR,-7.53,80.0
DAL,-8.39,81.0
ABBV,-8.88,82.0
MO,-9.05,83.0
NEE,-9.5,84.0
MU,-9.54,85.0
KO,-10.0,86.0
SO,-10.29,87.0
VIAC,-10.67,88.0
AMAT,-11.78,89.0
SBUX,-12.37,90.0
LUV,-12.73,91.0
FB,-12.78,92.0
JNJ,-12.91,93.0
BMY,-13.75,94.0
ABT,-14.86,95.0
MS,-14.91,96.0
PENN,-15.18,97.0
HON,-17.34,98.0
TMUS,-18.6,99.0
GILD,-20.05,100.0
MDT,-20.27,101.0
WMT,-23.76,102.0
TJX,-24.77,103.0
DIS,-24.98,104.0
MRK,-29.6,105.0
IBM,-31.91,106.0
MRNA,-31.96,107.0
MCD,-41.31,108.0
HCA,-60.78,109.0
BA,-61.01,110.0
PYPL,-91.43,111.0
