Stock,Accumulation/Distribution Value,Stocks_Ranked
TPR,28.15,1.0
UNP,26.77,2.0
CTVA,21.74,3.0
KMI,15.85,4.0
TSN,15.59,5.0
BEN,14.53,6.0
FTV,11.55,7.0
PBCT,11.26,8.0
APA,9.95,9.0
PGR,8.25,10.0
NKE,8.03,11.0
FISV,7.97,12.0
TFC,7.15,13.0
UAL,6.58,14.0
ADI,5.56,15.0
COST,5.23,16.0
ISRG,4.97,17.0
GILD,4.81,18.0
WRK,4.72,19.0
VIAC,4.41,20.0
NLSN,3.34,21.0
MTCH,2.69,22.0
PSX,2.59,23.0
FB,2.41,24.0
ALL,2.18,25.0
USB,2.04,26.0
TJX,1.88,27.0
CAT,1.61,28.0
DIS,1.52,29.0
PENN,1.23,30.0
EXC,1.2,31.0
TGT,1.07,32.0
MCHP,0.99,33.0
MAS,0.83,34.0
SBUX,0.48,35.0
PEP,0.46,36.0
GPS,0.37,37.0
UA,0.3,38.0
WBA,0.25,39.0
DAL,0.21,40.0
NEE,0.18,41.0
XEL,0.12,42.0
ICE,0.09,43.0
EIX,-0.21,44.0
DD,-0.22,45.0
CAG,-0.3,46.0
C,-0.35,47.0
AAL,-0.51,48.0
NXPI,-0.69,49.0
MO,-0.7,50.0
HBI,-0.88,51.0
SLB,-0.91,52.0
CL,-1.32,53.0
CVX,-1.35,54.0
HWM,-1.37,55.0
ADBE,-1.4,56.0
DISCA,-1.52,57.0
WY,-1.53,58.0
STX,-1.54,59.0
NLOK,-1.56,60.0
ED,-1.62,61.0
BSX,-1.64,62.0
OGN,-1.76,63.0
JCI,-1.85,64.5
KO,-1.85,64.5
BKR,-1.96,66.0
AMZN,-1.97,67.0
AMD,-2.1,68.0
ATVI,-2.16,69.0
GIS,-2.22,70.0
WMT,-2.23,71.0
CNP,-2.24,72.0
WELL,-2.25,73.0
UDR,-2.33,74.0
ORCL,-2.43,75.0
BK,-2.57,76.0
TWTR,-2.74,77.0
HAL,-2.78,78.0
NI,-2.83,79.0
CB,-2.85,80.0
INTC,-2.87,81.5
NCLH,-2.87,81.5
MMM,-2.99,83.0
PHM,-3.02,84.0
AAPL,-3.15,85.0
LYV,-3.21,86.0
HPQ,-3.27,87.0
HD,-3.39,88.0
LOW,-3.46,89.0
AES,-3.71,90.0
HBAN,-3.76,91.0
T,-3.86,92.0
PG,-3.92,93.0
EW,-3.96,94.0
AMGN,-4.05,95.5
RTX,-4.05,95.5
JNJ,-4.08,97.0
KHC,-4.09,98.0
IBM,-4.12,99.0
DUK,-4.2,100.0
CTRA,-4.27,101.5
CF,-4.27,101.5
AXP,-4.29,103.0
GPN,-4.69,104.0
DHR,-4.79,105.0
GLW,-4.8,106.0
RCL,-4.9,107.0
EOG,-4.91,108.0
QCOM,-5.08,109.0
D,-5.15,110.5
MCD,-5.15,110.5
V,-5.27,112.0
WDC,-5.36,113.0
CRM,-5.39,114.0
FAST,-5.42,115.0
CCL,-5.48,116.0
PEAK,-5.65,117.0
NVDA,-5.72,118.0
XOM,-5.73,119.0
CMCSA,-5.85,120.0
LUMN,-5.95,121.0
BAC,-6.12,122.0
VZ,-6.24,123.0
DXC,-6.25,124.0
EA,-6.3,125.0
GM,-6.5,126.5
DHI,-6.5,126.5
ENPH,-6.56,128.0
VLO,-6.68,129.0
HON,-6.71,130.0
PLD,-7.08,131.0
GE,-7.11,132.0
APH,-7.2,133.0
IPG,-7.52,134.0
FE,-7.54,135.0
TMUS,-7.55,136.0
SPG,-7.74,137.0
BLL,-7.83,138.0
FITB,-7.91,139.0
MAR,-7.93,140.0
NFLX,-8.03,141.0
ADSK,-8.17,142.0
DISH,-8.5,143.0
CVS,-8.61,144.0
PPL,-8.64,145.0
JNPR,-8.79,146.0
AMAT,-8.99,147.0
LVS,-9.14,148.0
HPE,-9.28,149.0
EXPE,-9.46,150.0
VTRS,-9.77,151.0
KEY,-9.8,152.0
BMY,-9.83,153.0
EMR,-10.16,154.0
ETSY,-10.4,155.0
AFL,-10.53,156.0
DG,-11.0,157.0
PYPL,-11.03,158.0
TXN,-11.17,159.0
PFE,-11.29,160.0
CFG,-12.11,161.0
LIN,-12.13,162.0
