Stock,Accumulation/Distribution Value,Stocks_Ranked
T,7577543,1.0
F,7325323,2.0
MRO,4808142,3.0
CCL,3887675,4.0
AAL,3242391,5.0
KMI,2626150,6.0
HBAN,2599189,7.0
FCX,2571389,8.0
APA,2384052,9.0
BAC,2180754,10.0
LUMN,1936983,11.0
INTC,1830929,12.0
VZ,1775968,13.0
GM,1705939,14.0
CSX,1704010,15.0
NCLH,1554136,16.0
WMB,1437444,17.0
PFE,1330052,18.0
AAPL,1310416,19.0
CMCSA,1276616,20.0
HPE,1237395,21.0
OXY,1176804,22.0
GPS,1138576,23.0
DVN,1088072,24.0
XOM,1047243,25.0
WFC,1036975,26.0
DISCA,944462,27.0
VTRS,890501,28.0
HST,873555,29.0
MRK,864009,30.0
KEY,838071,31.0
IVZ,832983,32.0
LUV,781312,33.0
AMD,774938,34.0
DAL,732658,35.0
BMY,720682,36.0
MGM,718157,37.0
C,707395,38.0
PPL,704709,39.0
LVS,698502,40.0
HBI,661601,41.0
CNP,650217,42.0
KO,636566,43.0
HPQ,633673,44.0
MO,599405,45.0
UAL,591775,46.0
RF,559364,47.0
BSX,520261,48.0
BEN,516869,49.0
MDLZ,488120,50.0
HAL,487256,51.0
EXC,478822,52.0
NI,462482,53.0
VIAC,458596,54.0
NVDA,428702,55.0
WU,417771,56.0
AES,417732,57.0
MOS,416699,58.0
FB,403281,59.0
MPC,400286,60.0
KIM,386147,61.0
NLOK,365531,62.0
COP,364089,63.0
ORCL,357601,64.0
NEE,351346,65.0
MS,347617,66.0
GILD,331299,67.0
CVX,322975,68.0
GLW,320790,69.0
KHC,320315,70.0
PENN,303660,71.0
TJX,299822,72.0
NEM,295997,73.0
SCHW,291521,74.0
USB,290506,75.0
QCOM,290063,76.0
FITB,289338,77.0
SYF,279706,78.0
FE,278768,79.0
MU,275112,80.0
WY,274004,81.0
KR,269072,82.0
DISCK,263639,83.0
CSCO,261845,84.0
BK,258477,85.0
ATVI,247760,86.0
FAST,247599,87.0
XEL,242513,88.0
MET,239157,89.0
TMUS,239056,90.0
SO,238439,91.0
ED,238345,92.0
CAG,225587,93.0
UAA,221975,94.0
JPM,217466,95.0
IPG,212981,96.0
O,207539,97.0
TFC,206315,98.0
MSFT,200027,99.0
GE,198065,100.0
WBA,190307,101.0
CNC,188438,102.0
EOG,185762,103.0
SBUX,181236,104.0
EBAY,176581,105.0
AFL,173365,106.0
CF,169844,107.0
CVS,161234,108.0
AIG,156482,109.0
VLO,147381,110.0
NKE,138424,111.0
GIS,137631,112.0
TPR,136875,113.0
DUK,134646,114.0
WYNN,131006,115.0
RTX,130818,116.0
MDT,127260,117.0
BA,124749,118.0
WDC,116382,119.0
VFC,115755,120.0
RCL,115717,121.0
JNJ,115076,122.0
FANG,115039,123.0
FIS,114343,124.0
STT,113600,125.0
V,112152,126.0
CAH,107417,127.0
AEP,107277,128.0
NWL,101985,129.0
MRNA,98867,130.0
ABT,95923,131.0
ABBV,92375,132.0
IBM,91780,133.0
ADI,88604,134.0
EA,87441,135.0
DIS,85758,136.0
PYPL,85370,137.0
AMAT,84586,138.0
PM,82807,139.0
CL,76758,140.0
FDX,75885,141.0
TXN,75075,142.0
PGR,72218,143.0
CAT,71407,144.0
LEN,69794,145.0
CTXS,69313,146.0
FISV,62545,147.0
MCHP,59984,148.0
PEP,58781,149.0
EMR,56977,150.0
HES,56591,151.0
MA,52456,152.0
CRM,51891,153.0
TSLA,51518,154.0
AXP,50972,155.0
LOW,47728,156.0
PLD,46684,157.0
DLTR,41929,158.0
UPS,41650,159.0
PG,40961,160.0
NFLX,36345,161.0
ENPH,31677,162.0
XLNX,31662,163.0
UNH,27769,164.0
DHR,25643,165.0
HD,22645,166.0
MCD,19874,167.0
AMGN,16735,168.0
CFG,9425,169.0
CTSH,5384,170.0
WMT,-14678,171.0
CTRA,-606550,172.0
