Stock,Accumulation/Distribution Value,Stocks_Ranked
CSCO,31.99,1.0
BAC,30.68,2.0
MU,23.21,3.0
SYF,18.48,4.0
XOM,17.4,5.0
WFC,12.57,6.0
LUV,11.89,7.0
RTX,11.18,8.0
HST,10.91,9.0
VZ,10.38,10.0
SLB,9.29,11.0
AMCR,7.58,12.0
INTC,7.52,13.0
VTRS,7.32,14.0
CERN,6.44,15.0
TSLA,6.18,16.0
SBUX,6.04,17.0
HBAN,5.77,18.0
QCOM,4.34,19.0
LVS,3.95,20.0
JPM,3.61,21.0
BMY,3.6,22.0
CAG,3.53,23.0
MRK,3.39,24.0
WU,3.12,25.0
MS,3.04,26.0
EXC,3.02,27.0
CSX,2.94,28.0
DISCA,2.65,29.0
ABT,2.17,30.0
VIAC,2.06,31.0
MPC,1.83,32.0
C,1.29,33.0
APA,1.28,34.0
GM,1.23,35.0
FB,1.03,36.0
DOW,0.96,37.0
IBM,0.95,38.0
WMT,0.87,39.0
MGM,0.32,40.0
HBI,0.29,41.0
ATVI,0.11,42.0
ABBV,-0.27,43.0
NCLH,-0.29,44.5
V,-0.29,44.5
CTRA,-0.36,46.0
DVN,-0.7,47.0
TFC,-0.73,48.0
KHC,-1.21,49.0
HAL,-1.28,50.0
WMB,-1.35,51.0
GE,-1.5,52.0
FCX,-1.63,53.0
JNJ,-1.72,54.0
KO,-1.73,55.0
KR,-1.99,56.0
GILD,-2.1,57.0
GPS,-2.15,58.0
UAL,-2.2,59.0
NEE,-2.21,60.0
MRNA,-2.36,61.0
BA,-2.55,62.0
HPE,-2.64,63.0
TWTR,-3.07,64.0
BSX,-3.41,65.0
AAL,-3.55,66.0
CCL,-3.57,67.0
MRO,-3.58,68.0
PFE,-3.94,69.0
TJX,-4.12,70.0
T,-4.24,71.0
GIS,-4.47,72.0
RF,-4.62,73.0
BKR,-4.75,74.0
MDLZ,-4.95,75.0
EXPE,-5.84,76.0
ADBE,-6.18,77.0
RCL,-6.22,78.0
DIS,-6.23,79.0
CTXS,-6.57,80.0
EBAY,-6.58,81.0
DAL,-7.02,82.0
MDT,-7.21,83.0
HPQ,-7.4,84.0
COP,-7.7,85.0
KMI,-8.13,86.0
ORCL,-8.38,87.0
NEM,-8.76,88.0
CRM,-9.32,89.0
LUMN,-9.52,90.5
PG,-9.52,90.5
F,-12.42,92.0
UAA,-13.03,93.0
AAPL,-13.49,94.0
AMD,-14.16,95.0
WBA,-15.21,96.0
OXY,-15.32,97.0
PYPL,-16.55,98.0
AMAT,-16.82,99.0
MO,-19.56,100.0
CMCSA,-22.3,101.0
CVX,-23.94,102.0
NKE,-28.82,103.0
NVDA,-29.58,104.0
PSX,-37.4,105.0
MSFT,-40.73,106.0
KEY,-45.62,107.0
