Stock,Accumulation/Distribution Value,Stocks_Ranked
PPL,28.14,1.0
LYB,26.77,2.0
GLW,21.74,3.0
ALL,15.85,4.0
BMY,15.59,5.0
ORCL,14.53,6.0
FE,11.59,7.0
MPC,11.26,8.0
NFLX,9.94,9.0
GPS,8.23,10.0
DUK,8.03,11.0
INCY,7.97,12.0
TPR,7.15,13.0
MTCH,6.58,14.0
OMC,5.56,15.0
TXN,5.23,16.0
WELL,4.91,17.0
NWL,4.79,18.0
IBM,4.41,19.0
COST,3.68,20.0
ENPH,3.34,21.0
SLB,2.69,22.0
WMB,2.62,23.0
AAPL,2.36,24.0
WFC,2.18,25.0
LLY,2.05,26.0
EA,1.88,27.0
BAC,1.61,28.0
JNJ,1.57,29.0
UAL,1.23,30.0
MGM,1.21,31.0
AMAT,1.07,32.0
MET,0.99,33.0
DAL,0.83,34.0
AFL,0.48,35.0
WMT,0.47,36.0
OKE,0.37,37.0
VIAC,0.3,38.0
AAL,0.25,39.0
BSX,0.18,40.0
CSCO,0.17,41.0
VFC,0.12,42.0
EXPE,0.11,43.0
DG,-0.18,44.0
NKE,-0.22,45.0
FISV,-0.3,46.0
CSX,-0.35,47.0
VTRS,-0.51,48.0
MRO,-0.69,49.0
EXC,-0.7,50.0
BAX,-0.88,51.0
CNC,-1.06,52.0
FCX,-1.32,53.0
ATVI,-1.35,54.0
C,-1.36,55.0
D,-1.4,56.0
APH,-1.51,57.0
DISCA,-1.53,58.5
VLO,-1.53,58.5
MNST,-1.56,60.0
T,-1.62,61.0
HLT,-1.64,62.0
FB,-1.73,63.0
AMZN,-1.85,64.5
JPM,-1.85,64.5
WDC,-1.96,66.0
PEAK,-1.97,67.0
EBAY,-2.09,68.0
FDX,-2.13,69.0
MCHP,-2.16,70.0
HBI,-2.23,71.0
MCD,-2.24,72.0
FANG,-2.25,73.5
CL,-2.25,73.5
GS,-2.34,75.0
HST,-2.49,76.0
ABT,-2.71,77.0
LIN,-2.78,78.0
MDLZ,-2.83,79.0
HBAN,-2.85,80.0
PYPL,-2.87,81.5
ED,-2.87,81.5
APA,-2.99,83.0
NEM,-3.02,84.0
BEN,-3.15,85.0
ETSY,-3.23,86.0
ABBV,-3.27,87.0
NUE,-3.39,88.0
SBUX,-3.46,89.0
BK,-3.71,90.0
DD,-3.76,91.0
MRK,-3.84,92.0
O,-3.89,93.0
MDT,-3.92,94.0
TSLA,-3.96,95.0
IVZ,-4.02,96.0
FITB,-4.06,97.0
TMUS,-4.08,98.0
EIX,-4.09,99.0
ADBE,-4.18,100.0
HWM,-4.19,101.0
CAH,-4.2,102.0
VRTX,-4.29,103.0
CMCSA,-4.69,104.0
WBA,-4.79,105.0
SO,-4.81,106.0
HAL,-4.9,107.0
ICE,-4.91,108.0
UPS,-5.08,109.0
BBY,-5.1,110.0
HON,-5.18,111.0
XEL,-5.36,112.0
WY,-5.39,113.0
AMCR,-5.4,114.0
SYF,-5.42,115.0
CI,-5.48,116.0
STT,-5.65,117.0
XRAY,-5.69,118.0
KO,-5.73,119.0
OXY,-5.85,120.0
PG,-5.94,121.0
WU,-6.13,122.0
V,-6.24,123.0
NLOK,-6.25,124.0
UAA,-6.3,125.0
JCI,-6.5,127.0
CFG,-6.5,127.0
IP,-6.5,127.0
SYY,-6.68,129.0
MAR,-6.71,130.0
NEE,-6.99,131.0
DHI,-7.09,132.0
VZ,-7.2,133.0
PBCT,-7.52,134.0
PSX,-7.54,135.0
BLL,-7.55,136.0
SPG,-7.74,137.0
AXP,-7.83,138.0
WYNN,-7.92,139.0
KEY,-7.93,140.0
FIS,-8.03,141.0
WRK,-8.17,142.0
NXPI,-8.5,143.0
MU,-8.61,144.0
CARR,-8.64,145.0
DOW,-8.79,146.0
EOG,-8.99,147.0
NVDA,-9.14,148.0
KMI,-9.3,149.0
EMR,-9.46,150.0
MMM,-9.77,151.0
UDR,-9.8,152.0
XLNX,-9.83,153.0
AMGN,-10.19,154.0
GPN,-10.4,155.0
CF,-10.53,156.0
EW,-11.0,157.0
ISRG,-11.03,158.0
