Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,93.83,1.0
NVDA,34.13,2.0
AMD,18.81,3.0
AAPL,16.77,4.0
MSFT,12.7,5.0
SCHW,12.21,6.0
COP,9.3,7.0
DVN,9.18,8.0
NKE,8.38,9.0
FITB,4.24,10.0
XOM,3.64,11.0
CSX,3.26,12.0
ORCL,3.1,13.0
BAC,2.67,14.0
WFC,2.46,15.0
GM,2.18,16.0
MRO,1.79,17.0
APA,1.78,18.0
KEY,1.5,19.0
HAL,1.33,20.0
NFLX,0.84,21.0
WMB,0.71,22.0
KMI,-0.24,23.0
HBAN,-0.26,24.0
F,-0.45,25.0
CVX,-0.48,26.0
FCX,-0.61,27.0
BK,-0.93,28.0
OXY,-1.05,29.0
HPE,-1.71,30.0
LUMN,-2.53,31.0
INTC,-2.71,32.0
HPQ,-3.53,33.0
CSCO,-3.67,34.0
UAL,-3.86,35.0
CTRA,-3.96,36.0
NCLH,-4.09,37.0
WU,-4.32,38.0
SYF,-4.51,39.0
AAL,-4.99,40.0
DISCA,-5.04,41.0
C,-5.14,42.0
DAL,-5.39,43.0
WBA,-5.78,44.0
GPS,-6.61,45.0
CCL,-6.88,46.0
QCOM,-7.34,47.0
PFE,-7.98,48.0
T,-8.03,49.0
BSX,-8.08,50.0
CMCSA,-8.37,51.0
MU,-9.69,52.0
LUV,-9.79,53.0
JPM,-10.24,54.0
MO,-10.69,55.0
VIAC,-10.78,56.0
KR,-11.44,57.0
MS,-11.74,58.0
VZ,-12.76,59.0
PG,-13.19,60.0
PENN,-13.75,61.0
FB,-13.86,62.0
ATVI,-14.41,63.0
KO,-14.83,64.0
D,-15.87,65.0
BMY,-17.96,66.0
CL,-18.51,67.0
JNJ,-19.43,68.0
GILD,-22.64,69.0
MDT,-23.73,70.0
ABT,-28.87,71.0
MRNA,-31.69,72.0
MRK,-35.61,73.0
WMT,-39.42,74.0
DIS,-46.97,75.0
BA,-50.75,76.0
