Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,126.89,1.0
NFLX,106.05,2.0
AMZN,75.31,3.0
HD,65.41,4.0
CRM,50.75,5.0
UNP,43.64,6.0
GS,37.18,7.0
GOOGL,32.64,8.0
UPS,25.76,9.0
EA,23.49,10.0
NVDA,19.98,11.0
AAPL,19.53,12.0
CAT,18.96,13.0
SCHW,18.73,14.0
CCI,18.32,15.0
MSFT,18.24,16.0
RTX,12.98,17.0
USB,12.52,18.0
AMD,12.44,19.0
V,10.57,20.0
TXN,10.27,21.0
NKE,10.04,22.0
TFC,9.97,23.0
VLO,7.59,24.0
COP,7.53,25.0
MOS,7.2,26.0
CVX,7.16,27.5
DVN,7.16,27.5
CVS,6.98,29.0
FITB,6.72,30.0
XOM,6.67,31.0
CFG,6.47,32.0
NUE,6.28,33.0
MTCH,6.17,34.0
CNC,5.43,35.0
BAC,4.89,36.0
RF,4.45,37.0
PG,4.3,38.0
WYNN,3.73,39.0
ORCL,3.72,40.5
CSX,3.72,40.5
JPM,3.71,42.0
WFC,3.42,43.0
FCX,3.25,44.0
BK,2.49,45.0
HAL,2.42,46.0
GE,2.32,47.0
APA,1.8,48.0
KEY,1.76,49.0
PEP,1.73,50.0
MRO,1.69,51.0
CSCO,1.43,52.0
HBAN,1.34,53.0
PBCT,1.19,54.0
MDLZ,1.17,55.0
EXC,1.14,56.0
DUK,0.46,57.5
WMB,0.46,57.5
F,0.41,59.0
OMC,0.27,60.0
OXY,0.18,61.0
MGM,0.14,62.0
GM,0.1,63.5
O,0.1,63.5
FB,-0.03,65.0
KMI,-0.27,66.0
PEAK,-0.68,67.0
VFC,-1.05,68.0
AES,-1.12,69.0
WBA,-1.17,70.0
ATVI,-1.26,71.0
INTC,-1.27,72.0
MPC,-1.3,73.5
LUMN,-1.3,73.5
NI,-1.4,75.0
WDC,-1.58,76.0
CMCSA,-1.63,77.0
EBAY,-1.64,78.0
HPE,-1.77,79.0
IVZ,-1.81,80.5
VTRS,-1.81,80.5
AIG,-2.04,82.0
HST,-2.15,83.0
NEM,-2.57,84.0
DISCA,-2.92,85.0
UAA,-2.93,86.0
ADI,-3.19,87.0
CNP,-3.2,88.0
PFE,-3.26,89.0
JNPR,-3.51,90.0
KIM,-3.58,91.0
CTRA,-3.67,92.0
DISH,-3.73,93.0
HPQ,-3.74,94.0
HBI,-3.83,95.0
PGR,-3.88,96.0
WU,-3.93,97.0
CPB,-4.01,98.0
IPG,-4.06,99.0
C,-4.07,100.0
GLW,-4.2,101.0
LVS,-4.24,102.0
UNH,-4.28,103.0
WY,-4.38,104.0
PPL,-4.62,105.0
KHC,-4.99,106.0
SYF,-5.07,107.0
BEN,-5.27,108.0
NCLH,-5.33,109.0
PM,-5.48,110.0
AXP,-5.51,111.0
CL,-5.56,112.0
FE,-5.59,113.0
BSX,-5.66,114.0
GPS,-5.99,115.0
KR,-6.21,116.0
VZ,-6.26,117.0
ABBV,-6.65,118.0
AAL,-6.72,119.0
T,-6.9,120.0
UAL,-6.95,121.0
MET,-7.0,122.0
CCL,-7.35,123.0
MA,-7.46,124.0
NEE,-7.88,125.0
KO,-8.89,126.0
JNJ,-8.9,127.0
HWM,-9.17,128.0
SO,-9.3,129.0
DAL,-9.52,130.0
VIAC,-9.84,131.0
MO,-9.91,132.0
QCOM,-10.04,133.0
ABT,-10.32,134.0
WHR,-10.35,135.0
MU,-11.54,136.0
SBUX,-12.12,137.0
BMY,-13.28,138.0
LUV,-14.55,139.0
MCHP,-15.38,140.0
MS,-15.49,141.0
LEN,-15.67,142.0
COF,-16.2,143.0
ALK,-16.39,144.0
AMAT,-16.56,145.0
HON,-17.12,146.0
PENN,-17.57,147.0
GILD,-18.83,148.0
DFS,-18.93,149.0
MDT,-19.83,150.0
WELL,-20.17,151.0
WMT,-22.33,152.0
TJX,-23.37,153.0
MMM,-24.31,154.0
TMUS,-24.71,155.0
MRK,-29.69,156.0
DIS,-29.81,157.0
FDX,-32.95,158.0
IBM,-33.3,159.0
MCD,-40.7,160.0
MRNA,-41.32,161.0
HCA,-63.3,162.0
BA,-74.46,163.0
PYPL,-101.61,164.0
