Stock,Accumulation/Distribution Value,Stocks_Ranked
F,11864732,1.0
T,7708009,2.0
MRO,4645073,3.0
CCL,3355995,4.0
AAL,3071099,5.0
BAC,2698831,6.0
FCX,2544914,7.0
APA,2204649,8.0
LUMN,2097162,9.0
KMI,2060732,10.0
HBAN,1991427,11.0
CSX,1900989,12.0
VZ,1896937,13.0
INTC,1621252,14.0
WMB,1505733,15.0
OXY,1466570,16.0
GM,1329657,17.0
HPE,1302865,18.0
CMCSA,1297690,19.0
NCLH,1232997,20.0
CTRA,1160209,21.0
WFC,1135103,22.0
DISCA,1026557,23.0
DVN,995281,24.0
XOM,969332,25.0
KEY,956773,26.0
AAPL,956484,27.0
DAL,898442,28.0
PFE,886376,29.0
HAL,846599,30.0
C,806444,31.0
KO,798977,32.0
AMD,772378,33.0
HPQ,765118,34.0
LUV,676143,35.0
BMY,669090,36.0
MRK,627282,37.0
MGM,622993,38.0
UAL,605560,39.0
LVS,582880,40.0
RF,577265,41.0
MO,547891,42.0
HST,538570,43.0
MU,506242,44.0
CNP,448092,45.0
COP,442927,46.0
VIAC,384963,47.0
NEE,369120,48.0
FB,352563,49.0
NVDA,329418,50.0
NEM,328901,51.0
CVX,318396,52.0
ORCL,293877,53.0
MS,282908,54.0
QCOM,265960,55.0
CSCO,249214,56.0
JPM,241572,57.0
TJX,232635,58.0
O,198125,59.0
ATVI,194403,60.0
MSFT,192469,61.0
GE,169605,62.0
SBUX,161357,63.0
NKE,135044,64.0
JNJ,129387,65.0
V,117389,66.0
BA,109836,67.0
AMAT,79710,68.0
DIS,75946,69.0
WBA,72315,70.0
MRNA,67181,71.0
CRM,54044,72.0
AXP,49570,73.0
TSLA,26123,74.0
