Stock,Accumulation/Distribution Value,Stocks_Ranked
GM,18.83,1.0
MDT,18.23,2.0
WBD,7.84,3.0
TJX,7.62,4.0
CMCSA,7.25,5.0
MMM,7.0,6.0
K,6.96,7.0
ENPH,6.73,8.0
BAX,5.56,9.0
DUK,5.47,10.0
LOW,5.45,11.0
XEL,5.01,12.0
F,4.93,13.0
HD,4.66,14.0
SPGI,4.37,15.0
MRNA,3.62,16.0
NFLX,3.57,17.0
OXY,1.98,18.0
WFC,1.87,19.0
HAL,1.7,20.0
CVX,1.57,21.0
WYNN,1.55,22.0
CL,1.11,23.0
D,0.98,24.0
AMD,0.93,25.0
TSLA,0.91,26.0
EOG,0.82,27.0
IBM,0.79,28.0
FITB,0.74,29.0
TMUS,0.35,30.0
ADBE,0.33,31.0
BKR,0.26,32.0
GE,0.24,33.0
GILD,0.19,34.0
DISH,0.05,35.0
LUV,0.04,36.0
DIS,-0.11,37.0
NLSN,-0.23,38.0
NKE,-0.25,39.0
AIG,-0.31,40.0
HPQ,-0.32,41.0
NVDA,-0.34,42.0
BSX,-0.52,43.0
RCL,-0.57,44.0
DAL,-0.59,45.0
USB,-0.61,46.0
NI,-0.67,47.0
DVN,-0.83,48.0
VTRS,-1.06,49.0
WELL,-1.11,50.0
NCLH,-1.16,51.0
PGR,-1.34,52.0
SLB,-1.37,53.0
MRO,-1.45,54.0
UPS,-1.48,55.0
CPB,-1.59,56.0
AAL,-1.61,57.0
NEE,-1.73,58.5
MU,-1.73,58.5
O,-1.82,60.0
MCHP,-1.84,61.0
VZ,-1.91,62.0
SYF,-1.97,63.5
PYPL,-1.97,63.5
APA,-2.02,65.0
EA,-2.26,66.0
COP,-2.43,67.0
ETN,-2.58,68.0
T,-2.63,69.0
MAS,-2.71,70.0
MA,-2.82,71.5
BK,-2.82,71.5
FB,-3.1,73.0
ROST,-3.21,74.0
CTSH,-3.3,75.0
PHM,-3.35,76.5
MSFT,-3.35,76.5
TXN,-3.45,78.5
QCOM,-3.45,78.5
PPL,-3.46,80.0
MS,-3.54,81.5
RF,-3.54,81.5
KR,-3.75,83.0
AMCR,-3.76,84.0
VFC,-3.97,85.0
VLO,-4.03,86.0
WBA,-4.04,87.0
V,-4.18,88.5
IR,-4.18,88.5
HST,-4.23,90.0
OKE,-4.66,91.0
IVZ,-4.75,92.0
NLOK,-5.02,93.0
PEP,-5.16,94.0
JNPR,-5.37,95.0
SPG,-5.47,96.0
CZR,-5.49,97.0
NRG,-5.52,98.0
PEAK,-5.67,99.0
MRK,-5.69,100.0
CSCO,-5.73,101.0
MTCH,-5.81,102.0
COF,-5.95,103.0
EXPE,-6.04,104.0
PSX,-6.07,105.0
NWL,-6.21,106.0
AMAT,-6.29,107.0
SO,-6.33,108.0
ETSY,-6.63,109.0
NWSA,-6.66,110.0
CNP,-7.06,111.0
BMY,-7.49,112.0
DD,-7.6,113.0
UAA,-7.97,114.0
SBUX,-8.08,115.0
SCHW,-8.34,116.0
TFC,-8.35,117.0
WMB,-8.81,118.0
MO,-8.84,119.0
KMI,-9.18,120.0
LVS,-9.38,121.0
PLD,-9.39,122.0
CAT,-9.55,123.0
CAG,-9.67,124.0
GLW,-9.71,125.0
JPM,-9.77,126.0
WMT,-9.85,127.5
BAC,-9.85,127.5
EXC,-9.93,129.0
BBWI,-9.94,130.0
UNH,-9.97,131.0
CERN,-10.03,132.0
FANG,-10.21,133.0
RTX,-10.3,134.0
INTC,-10.37,135.0
UNP,-10.39,136.0
JCI,-10.79,137.0
KO,-10.84,138.0
C,-11.09,139.0
CVS,-11.51,140.0
WDC,-11.67,141.5
HON,-11.67,141.5
XOM,-11.72,143.0
UAL,-12.29,144.0
ABBV,-12.49,145.0
FE,-12.57,146.0
LYV,-12.58,147.0
MDLZ,-12.66,148.0
ADM,-12.97,149.0
FAST,-12.99,150.0
AMGN,-13.01,151.0
MET,-13.23,152.0
BA,-13.75,153.0
CFG,-13.76,154.0
WY,-13.81,155.0
CRM,-14.2,156.0
TGT,-14.56,157.0
CTRA,-14.84,158.0
KHC,-15.3,159.0
UA,-15.78,160.0
TWTR,-16.15,161.0
ORCL,-17.24,162.0
MOS,-17.58,163.0
EBAY,-17.73,164.0
FCX,-17.87,165.0
PXD,-18.78,166.0
FOXA,-19.04,167.0
DOW,-19.48,168.0
DHI,-19.85,169.0
ABT,-20.49,170.0
PM,-21.63,171.0
PG,-22.78,172.0
AMZN,-23.07,173.0
MPC,-23.57,174.0
PENN,-23.75,175.0
MGM,-23.84,176.0
CARR,-24.02,177.0
HBAN,-24.87,178.0
LUMN,-25.89,179.0
GIS,-26.36,180.0
JNJ,-27.05,181.0
ICE,-27.33,182.0
CTVA,-28.35,183.0
XRAY,-29.04,184.0
TTWO,-29.98,185.0
TPR,-30.35,186.0
KEY,-31.57,187.0
EMR,-31.65,188.0
AAPL,-33.74,189.0
CSX,-36.03,190.0
PFE,-37.51,191.0
BEN,-39.56,192.0
DRE,-40.98,193.0
SYY,-52.86,194.0
KIM,-58.06,195.0
PARA,-60.42,196.0
NEM,-61.36,197.0
CCL,-67.61,198.0
FTV,-70.3,199.0
ATVI,-111.8,200.0
HPE,-238.98,201.0
HLT,-421.95,202.0
