Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,156.61,1.0
COST,141.96,2.0
XLNX,58.95,3.0
MRNA,55.04,4.0
NXPI,50.6,5.0
DHR,45.52,6.0
ADI,40.06,7.0
SPG,39.69,8.0
MSFT,39.12,9.0
PLD,38.57,10.0
ADBE,38.23,11.0
AMD,36.05,12.0
QCOM,33.25,13.0
TXN,31.95,14.0
CRM,31.72,15.0
NEE,30.49,16.0
AMAT,28.55,17.0
PEP,26.73,18.0
SBUX,24.24,19.0
LYV,21.44,20.0
PG,21.33,21.0
HD,17.22,22.0
EXPE,17.03,23.0
UDR,16.77,24.0
MCHP,15.6,25.0
GILD,13.77,26.0
JCI,13.5,27.0
BBY,13.31,28.0
SCHW,12.93,29.0
CVX,12.92,30.5
MU,12.92,30.5
CL,12.45,32.0
MAR,12.32,33.0
AAPL,12.23,34.0
SO,12.16,35.0
CFG,12.05,36.0
ED,10.38,37.0
GM,9.97,38.0
AFL,9.26,39.0
EXC,8.74,40.0
XEL,7.57,41.0
CSCO,7.26,42.0
CNP,7.22,43.0
FISV,7.16,44.0
INCY,6.59,45.0
GIS,6.23,46.0
HLT,6.01,47.0
WY,5.94,48.0
FE,5.77,49.0
PNC,5.61,50.0
DD,5.55,51.0
PFE,5.32,52.0
ACN,5.11,53.0
FCX,4.86,54.0
WDC,4.74,55.0
K,4.69,56.0
NEM,4.5,57.0
CARR,4.37,58.5
UAL,4.37,58.5
O,4.35,60.0
F,4.24,61.0
CF,3.74,62.0
KHC,3.55,64.0
FITB,3.55,64.0
NI,3.55,64.0
DAL,3.19,66.0
AAL,2.83,67.0
ALK,2.62,68.0
DISCK,2.4,69.0
DISCA,2.27,70.0
GLW,2.23,71.0
UNP,2.1,72.0
INTC,2.05,73.0
DVN,2.03,74.5
PBCT,2.03,74.5
WBA,1.99,76.0
HPQ,1.71,77.0
HPE,1.67,78.0
NVDA,1.56,79.0
ABBV,1.51,80.0
KEY,1.36,81.0
CVS,1.32,82.0
BKR,1.22,83.0
HST,1.2,84.0
CTSH,1.16,85.0
AES,1.07,86.5
KR,1.07,86.5
VTR,1.06,88.0
HBAN,1.03,89.0
SYF,0.97,90.0
CNC,0.78,91.5
MOS,0.78,91.5
KO,0.75,93.0
LVS,0.66,94.5
KIM,0.66,94.5
CMCSA,0.57,96.0
NTAP,0.46,97.0
LLY,0.26,98.0
LUV,0.12,99.0
MRO,-0.06,100.0
NLSN,-0.09,101.0
NWL,-0.13,102.0
NWSA,-0.26,103.0
HWM,-0.29,104.0
DIS,-0.4,105.0
LUMN,-0.42,106.0
BBWI,-0.58,107.0
ATVI,-0.61,108.0
APA,-0.66,109.0
NLOK,-0.75,110.0
AEP,-0.78,111.0
DOW,-0.84,112.0
PPL,-1.07,113.0
MS,-1.08,114.0
IVZ,-1.22,115.0
MDLZ,-1.3,116.5
WELL,-1.3,116.5
PSX,-1.38,118.0
HAL,-1.48,119.0
KMI,-1.51,120.0
OXY,-1.69,121.0
XOM,-1.78,122.0
IPG,-1.98,123.0
CTRA,-2.0,124.0
FANG,-2.02,125.0
RF,-2.11,126.0
LW,-2.18,127.0
CCL,-2.2,128.0
D,-2.22,129.0
SLB,-2.24,130.0
USB,-2.31,131.0
TPR,-2.46,132.0
AMCR,-2.47,133.0
JNPR,-2.51,134.0
CSX,-2.55,135.0
BK,-2.58,136.0
NKE,-2.59,137.0
VTRS,-2.6,138.0
NCLH,-2.71,139.0
C,-2.77,140.0
MA,-2.78,141.0
CAG,-2.82,142.0
WMB,-2.83,143.0
GPS,-2.88,144.0
HBI,-2.98,145.0
WU,-3.0,146.0
BAC,-3.11,147.0
TFC,-3.15,148.0
WFC,-3.25,149.0
VRTX,-3.67,150.0
SYY,-3.77,151.0
FOXA,-3.79,152.0
MPC,-4.84,153.0
VIAC,-5.05,154.0
MRK,-5.28,155.0
BSX,-5.3,156.0
UAA,-5.7,157.0
FIS,-5.8,158.0
IP,-6.2,159.0
CZR,-6.25,160.0
CAH,-6.28,161.0
BA,-6.3,162.0
VFC,-6.5,163.0
RTX,-7.44,164.5
MGM,-7.44,164.5
T,-7.47,166.0
EW,-7.51,167.0
DXC,-7.53,168.0
STX,-7.93,169.0
MET,-8.28,170.5
WYNN,-8.28,170.5
VLO,-8.56,172.0
VZ,-9.52,173.0
TJX,-9.61,174.0
MO,-9.75,175.0
ORCL,-11.11,176.0
LYB,-12.06,177.0
DE,-12.44,178.0
ABT,-12.73,179.0
AIG,-13.05,180.0
XRAY,-13.44,181.0
BAX,-13.51,182.0
IBM,-13.65,183.0
GS,-14.0,184.0
JNJ,-14.61,185.0
EOG,-15.31,186.0
JPM,-15.47,187.0
HON,-16.0,188.5
TMUS,-16.0,188.5
BMY,-16.13,190.0
CTXS,-16.14,191.0
COF,-16.3,192.0
GE,-17.34,193.0
COP,-17.4,194.0
TGT,-18.15,195.0
MTCH,-18.33,196.0
PM,-19.19,197.0
RCL,-19.69,198.0
ALL,-19.72,199.0
NUE,-19.79,200.0
MDT,-20.27,201.0
TWTR,-20.72,202.0
V,-21.69,203.0
EBAY,-22.77,204.0
PYPL,-23.16,205.0
UPS,-23.3,206.0
PENN,-24.07,207.0
AXP,-25.07,208.0
EMR,-25.3,209.0
WMT,-28.4,210.0
AMGN,-31.13,211.0
ADSK,-32.26,212.0
CAT,-33.63,213.0
LOW,-33.72,214.0
GPN,-34.7,215.0
CB,-52.7,216.0
FB,-56.58,217.0
UNH,-59.38,218.0
CI,-76.84,219.0
NFLX,-109.52,220.0
AMZN,-491.92,221.0
