Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,153.44,1.0
MSFT,76.89,2.0
MCD,60.9,3.0
MRNA,41.75,4.0
DHR,41.7,5.0
SPG,41.03,6.0
TXN,29.01,7.0
QCOM,28.73,8.0
CLX,25.14,9.0
MAR,23.99,10.0
NEE,22.84,11.0
AAPL,22.74,12.0
PEP,22.32,13.0
LYV,20.09,14.0
EXPE,19.99,15.0
CVX,19.72,16.0
AMAT,17.88,17.0
BBY,17.48,18.0
AMD,17.12,19.0
HD,16.32,20.0
SBUX,16.1,21.0
DLTR,16.07,22.0
ADI,15.96,23.5
ABBV,15.96,23.5
UNP,15.39,25.0
CRM,15.15,26.0
PG,11.77,27.0
GILD,11.49,28.0
MCHP,10.98,29.0
HLT,10.91,30.0
NKE,10.07,31.0
EXC,9.94,32.0
CFG,9.75,33.0
PFE,9.35,34.0
MU,9.19,35.0
CL,9.13,36.0
MRK,7.75,37.0
WDC,7.35,38.0
SO,7.22,39.0
INCY,6.72,40.0
SCHW,5.15,41.0
UAL,4.93,42.0
CNP,4.62,43.0
GM,4.25,44.0
FE,4.07,45.0
CSCO,4.02,46.0
DAL,3.92,47.0
FISV,3.91,48.0
CVS,3.69,49.0
FCX,3.11,50.5
KR,3.11,50.5
AAL,2.94,52.0
KHC,2.7,53.0
F,2.62,54.0
DVN,2.61,55.0
LUV,2.2,56.0
KO,2.06,57.0
FANG,1.91,58.0
LVS,1.89,59.0
MS,0.97,60.0
AFL,0.86,61.0
HST,0.81,62.0
KIM,0.75,63.0
MOS,0.65,64.0
BKR,0.58,65.0
CARR,0.56,66.5
ALK,0.56,66.5
DISCA,0.54,68.0
FITB,0.4,69.0
MRO,0.34,70.0
JNPR,0.28,71.0
AES,0.27,72.0
PBCT,0.1,73.0
HBAN,0.03,74.0
KEY,-0.05,75.0
HPE,-0.24,76.5
WBA,-0.24,76.5
HWM,-0.32,78.0
CSX,-0.37,79.0
ATVI,-0.43,80.0
LUMN,-0.69,81.0
APA,-0.93,82.0
HPQ,-1.13,83.0
GLW,-1.35,84.0
KMI,-1.42,85.0
CCL,-1.5,86.0
INTC,-1.6,87.0
HBI,-1.68,88.0
AMCR,-1.72,89.0
WMB,-1.89,90.0
C,-1.9,91.0
PPL,-1.93,92.0
CTRA,-1.95,93.0
NWSA,-1.96,94.0
OXY,-1.98,95.0
VTRS,-2.02,96.0
SYF,-2.16,97.0
NLOK,-2.33,98.0
TPR,-2.52,99.0
SLB,-2.66,100.0
HAL,-2.72,101.0
NEM,-2.73,102.0
ACN,-2.75,103.0
NCLH,-2.8,104.0
RF,-2.87,105.0
CAG,-3.01,106.0
IVZ,-3.16,107.0
SYY,-3.24,108.0
DHI,-3.27,109.0
IPG,-3.29,110.0
XOM,-3.46,111.0
MDLZ,-3.57,112.0
BK,-3.59,113.0
BAC,-3.62,114.0
WFC,-3.81,115.0
WU,-3.92,116.0
CMCSA,-4.15,117.0
GPS,-4.36,118.0
UAA,-4.84,119.0
CAH,-4.92,120.0
BSX,-5.05,121.0
NVDA,-5.39,122.0
MGM,-5.5,123.0
USB,-5.51,124.0
DOW,-5.55,125.0
TFC,-5.94,126.0
HON,-6.02,127.0
T,-6.23,128.0
MPC,-6.24,129.0
BA,-6.75,130.0
VIAC,-6.96,131.0
TJX,-7.18,132.0
DIS,-7.56,133.0
RTX,-8.65,134.0
WYNN,-8.7,135.0
PXD,-8.73,136.0
PSX,-9.0,137.0
HES,-9.01,138.0
GS,-9.15,139.0
VZ,-9.38,140.0
VLO,-9.48,141.0
BMY,-9.93,142.0
MET,-11.43,143.0
EBAY,-12.2,144.0
CZR,-12.22,145.0
EOG,-12.4,146.0
LYB,-12.62,147.0
AIG,-12.81,148.0
ORCL,-13.13,149.0
ABT,-14.73,150.0
COP,-15.41,151.0
JPM,-15.59,152.0
MO,-16.02,153.0
GE,-16.4,154.0
TGT,-16.5,155.0
MDT,-17.36,156.0
O,-17.38,157.0
PM,-18.01,158.0
FIS,-18.22,159.0
WMT,-18.25,160.0
JNJ,-18.72,161.0
IBM,-19.7,162.0
RCL,-20.66,163.0
TWTR,-20.89,164.0
NUE,-23.52,165.0
PENN,-24.58,166.0
EMR,-25.49,167.0
TMUS,-26.38,168.0
COF,-27.06,169.0
MA,-27.33,170.0
MTCH,-30.17,171.0
AMGN,-31.22,172.0
CAT,-32.74,173.0
PYPL,-32.88,174.0
V,-38.69,175.0
AXP,-40.21,176.0
FB,-57.15,177.0
NFLX,-72.64,178.0
UNH,-88.45,179.0
AMZN,-138.7,180.0
