Stock,Accumulation/Distribution Value,Stocks_Ranked
EA,67.96,1.0
CHRW,61.68,2.0
ROL,45.75,3.0
STT,43.17,4.0
ACN,39.57,5.0
CSCO,34.71,6.0
ILMN,34.3,7.0
CHD,31.68,8.0
GPN,26.7,9.0
MRNA,22.18,10.0
DRI,17.19,11.0
TRMB,15.94,12.0
DAL,15.41,13.0
CNP,14.8,14.0
VLO,13.31,15.0
GOOGL,13.27,16.0
CBRE,13.26,17.0
TAP,12.29,18.0
VIAC,10.98,19.0
DISCA,10.58,20.0
WY,10.05,21.0
ETN,9.2,22.0
ES,8.44,23.0
CDW,8.42,24.0
UPS,7.17,25.0
IPG,6.57,26.0
HST,6.45,27.0
TER,6.06,28.0
SCHW,6.03,29.0
LLY,5.82,30.0
VRTX,5.29,31.0
AEP,4.98,32.0
FOXA,4.85,33.0
IRM,4.66,34.0
FE,4.14,35.0
HPE,3.96,36.0
ANET,3.95,37.5
AES,3.95,37.5
RCL,3.75,39.5
WFC,3.75,39.5
O,3.46,41.0
NI,3.4,42.0
LYB,3.22,43.0
HPQ,3.19,44.0
A,3.16,45.0
PEG,3.15,46.0
ISRG,3.14,47.0
VNO,2.91,48.0
KR,2.82,49.0
NOW,2.78,50.0
LW,2.76,51.0
CTSH,2.63,52.0
K,2.47,53.0
NXPI,2.45,54.0
SWK,2.26,55.0
MS,2.22,56.0
INTU,2.19,57.0
WMT,2.1,58.0
DLR,2.0,59.0
F,1.76,60.0
FITB,1.58,61.0
NFLX,1.5,62.0
GIS,1.48,63.0
TWTR,1.47,64.0
EXC,1.42,65.0
TTWO,1.36,66.0
DRE,1.11,67.0
OGN,1.07,68.0
EXPE,1.03,69.0
MTCH,0.86,70.0
OTIS,0.84,71.0
HLT,0.78,72.0
CZR,0.66,73.0
PEAK,0.64,74.0
CFG,0.63,75.0
HIG,0.58,76.5
DE,0.58,76.5
LEN,0.57,78.0
WLTW,0.56,79.0
BKR,0.53,80.0
DUK,0.38,81.0
V,0.22,82.0
CF,0.08,83.0
KMB,0.06,84.0
EL,-0.0,85.0
JPM,-0.11,86.0
OKE,-0.12,87.0
WMB,-0.18,88.0
SYF,-0.3,89.0
JNJ,-0.33,90.5
TFC,-0.33,90.5
AAPL,-0.41,92.0
OXY,-0.45,93.0
GPS,-0.46,94.0
PSX,-0.61,95.0
ZTS,-0.78,96.0
MET,-0.84,97.0
ADSK,-0.91,98.0
WRK,-1.07,99.0
PGR,-1.16,100.0
SO,-1.18,101.0
HCA,-1.23,102.0
NUE,-1.26,103.0
CTXS,-1.3,104.5
AMAT,-1.3,104.5
BAC,-1.43,106.0
AEE,-1.48,107.0
APA,-1.49,108.0
BWA,-1.52,109.0
WDC,-1.64,110.0
PHM,-1.65,111.0
NLOK,-1.78,112.0
ADP,-1.89,113.5
CAT,-1.89,113.5
DXC,-1.91,115.0
AMD,-2.03,116.0
CSX,-2.06,117.0
MPC,-2.07,118.0
EXPD,-2.23,119.0
NEE,-2.41,120.0
EBAY,-2.43,121.0
COF,-2.54,122.0
AMGN,-2.62,123.0
CMI,-2.68,124.0
TMUS,-2.7,125.0
AON,-2.75,126.0
WYNN,-2.9,127.0
CMCSA,-2.98,128.0
DG,-3.08,129.5
EIX,-3.08,129.5
PXD,-3.18,131.0
LNC,-3.21,132.0
DISH,-3.22,133.0
EW,-3.23,134.0
QCOM,-3.26,135.5
RTX,-3.26,135.5
AXP,-3.33,137.0
BDX,-3.39,138.0
BEN,-3.43,139.0
GM,-3.45,140.0
ED,-3.51,141.0
IR,-3.54,142.5
GILD,-3.54,142.5
FMC,-3.63,144.0
T,-3.7,145.0
HES,-3.8,146.0
NVDA,-3.85,147.0
ATVI,-3.86,148.0
MGM,-4.0,149.0
CVS,-4.01,150.0
MDT,-4.11,151.0
WEC,-4.28,152.0
PM,-4.3,153.0
CAH,-4.33,154.0
WBA,-4.43,155.0
NLSN,-4.44,156.0
CB,-4.45,157.0
USB,-4.51,158.0
C,-4.66,159.0
PCAR,-4.71,160.0
FTNT,-4.8,161.5
PNC,-4.8,161.5
MU,-4.81,163.0
DLTR,-4.83,164.0
JCI,-4.85,165.0
HBI,-4.9,166.0
FTV,-4.94,167.0
NKE,-4.96,168.0
BA,-4.97,170.0
MKC,-4.97,170.0
BBWI,-4.97,170.0
RF,-4.99,172.0
COST,-5.15,173.0
INCY,-5.25,174.0
PYPL,-5.33,175.0
IVZ,-5.4,176.0
EOG,-5.43,177.0
VFC,-5.53,178.0
WELL,-5.55,179.0
NCLH,-5.66,180.0
VTR,-5.72,181.0
FCX,-5.86,182.0
PFE,-5.88,183.0
AMT,-6.06,184.0
GD,-6.28,185.0
FIS,-6.42,186.0
DOW,-6.64,187.0
HWM,-6.65,188.0
HON,-6.71,189.0
XLNX,-6.77,190.0
GLW,-6.97,191.0
PENN,-7.08,192.0
UAL,-7.15,193.0
JNPR,-7.21,194.0
INTC,-7.32,195.0
KLAC,-7.37,196.0
CERN,-7.46,197.0
PEP,-7.48,198.0
UNP,-7.52,199.0
AAL,-7.57,200.0
ADI,-7.64,201.0
FANG,-7.67,202.0
SPG,-7.84,203.0
MOS,-7.98,204.0
SWKS,-7.99,205.0
CME,-8.04,206.5
NEM,-8.04,206.5
HRL,-8.05,208.0
OMC,-8.24,209.5
AMZN,-8.24,209.5
CPB,-8.27,211.0
FISV,-8.48,212.0
VZ,-8.57,213.5
SYY,-8.57,213.5
LYV,-8.76,215.0
BRO,-8.79,216.0
WU,-8.82,217.0
TSLA,-8.88,218.0
MA,-9.11,219.0
MMC,-9.22,220.5
UDR,-9.22,220.5
GS,-9.28,222.0
CL,-9.29,223.0
HOLX,-9.5,224.0
MDLZ,-9.53,225.0
CAG,-9.55,226.0
IP,-9.91,227.0
KHC,-9.93,228.0
STZ,-10.26,229.0
EQR,-10.37,230.0
PPG,-10.52,231.0
ECL,-10.64,232.0
TJX,-10.75,233.0
AFL,-10.8,234.0
UAA,-10.83,235.0
CNC,-10.91,236.0
CVX,-11.25,237.0
IFF,-11.59,238.0
CMS,-11.69,239.0
DISCK,-11.9,240.0
COP,-11.98,241.5
SYK,-11.98,241.5
MRK,-12.15,243.0
FOX,-12.4,244.0
CTRA,-12.5,245.0
BMY,-12.62,246.0
NWSA,-12.63,247.0
NWL,-12.67,248.0
SBUX,-12.69,249.0
IBM,-13.43,250.0
PFG,-13.64,251.0
CTLT,-13.67,252.0
CTVA,-13.78,253.0
TXT,-13.8,254.0
MRO,-14.02,255.5
PLD,-14.02,255.5
LUMN,-14.1,257.0
DVN,-14.21,258.0
LOW,-14.58,259.0
TXN,-14.62,260.0
CHTR,-14.78,261.0
YUM,-14.79,262.0
KO,-14.8,263.0
LIN,-15.41,264.0
APH,-16.17,265.0
TSN,-16.23,266.0
EMR,-16.42,267.0
FB,-16.49,268.0
ORCL,-16.66,269.0
KMI,-16.82,270.0
STX,-16.85,271.0
UA,-16.86,272.0
BSX,-17.09,273.0
CARR,-17.11,274.0
TEL,-17.34,275.0
NRG,-17.43,276.0
ADBE,-17.51,277.0
PG,-18.7,278.0
ABT,-18.71,279.0
NSC,-18.74,280.0
TROW,-18.79,281.0
TMO,-19.29,282.0
CCL,-20.93,283.0
WM,-21.11,284.0
LUV,-21.24,285.0
HD,-21.46,286.0
