Stock,Accumulation/Distribution Value,Stocks_Ranked
WEC,66.98,1.0
MDLZ,62.32,2.0
IP,45.52,3.0
AON,41.63,4.0
UNP,39.57,5.0
CVS,34.29,6.0
CHD,31.69,7.0
FDX,31.45,8.0
BWA,26.7,9.0
PENN,26.62,10.0
EXC,22.21,11.0
PNC,21.15,12.0
AMT,15.78,13.0
XOM,15.55,14.0
STZ,15.41,15.0
LKQ,14.74,16.0
TTWO,13.34,17.0
GOOGL,13.28,18.0
ALL,13.27,19.0
MCD,12.16,20.0
DD,10.83,21.0
MTCH,10.54,22.0
DAL,10.01,23.0
TROW,9.2,24.0
AEE,9.01,25.0
WMB,8.66,26.0
EA,7.48,27.0
COF,7.1,28.0
DIS,6.58,29.0
EL,6.36,30.0
OMC,5.81,31.0
ETSY,5.14,32.0
CPB,5.0,33.0
HBI,4.85,34.0
LMT,4.66,35.0
TMUS,3.99,36.0
AKAM,3.96,37.0
MS,3.93,38.0
ZBH,3.75,39.0
YUM,3.6,40.0
BLL,3.53,41.0
MA,3.4,42.0
ABBV,3.38,43.0
SWK,3.22,44.0
CSCO,3.13,45.0
ISRG,3.1,46.0
VFC,3.02,47.0
MGM,2.99,48.0
MRO,2.9,49.0
CCL,2.86,50.0
DRI,2.64,51.0
AMZN,2.54,52.0
GD,2.41,53.0
ETN,2.29,54.0
LNC,2.23,55.0
PYPL,1.82,56.5
EOG,1.82,56.5
CTSH,1.71,58.0
FMC,1.58,59.0
V,1.56,60.0
MMM,1.48,61.0
GM,1.42,62.0
NLOK,1.39,63.0
BBWI,1.32,64.0
BDX,1.29,65.0
DVN,1.27,66.0
CB,1.1,67.0
MAS,1.07,68.0
PHM,1.06,69.0
DXC,0.86,70.0
ROL,0.84,71.0
PXD,0.78,72.0
CMA,0.69,73.0
LW,0.64,74.5
NTAP,0.64,74.5
GPS,0.63,76.0
MPC,0.58,78.0
BK,0.58,78.0
WELL,0.58,78.0
QCOM,0.41,80.0
MCHP,0.21,81.0
BBY,-0.0,82.0
HOLX,-0.06,83.0
NRG,-0.08,84.0
AEP,-0.12,85.5
AMGN,-0.12,85.5
AVGO,-0.17,87.0
PNR,-0.3,88.0
ADBE,-0.33,89.0
NXPI,-0.37,90.0
NWSA,-0.43,91.0
LEN,-0.46,92.0
OXY,-0.56,93.0
VRTX,-0.7,94.0
APA,-0.76,95.0
ICE,-0.82,96.0
LEG,-0.85,97.0
ECL,-1.06,98.5
STX,-1.06,98.5
DISH,-1.14,100.0
