Stock,Accumulation/Distribution Value,Stocks_Ranked
TMO,66.98,1.0
PNR,62.32,2.0
TMUS,45.52,3.0
GLW,41.63,4.0
CHRW,39.57,5.0
CHTR,34.29,6.0
BWA,31.69,7.0
PPL,31.45,8.0
ABBV,26.7,9.0
EIX,22.21,10.0
COST,15.55,11.0
MRO,15.41,12.0
TER,14.74,13.0
GS,14.27,14.0
PHM,13.34,15.0
DLR,13.28,16.0
C,13.27,17.0
DE,12.16,18.0
PRU,10.83,19.0
IPG,10.18,20.0
ACN,10.01,21.0
FCX,9.2,22.0
UPS,7.48,23.0
DG,7.1,24.0
TXN,6.58,25.0
WFC,6.36,26.0
GIS,6.06,27.0
FANG,5.81,28.0
HWM,5.5,29.0
MO,5.14,30.0
PEG,5.0,31.0
CTLT,4.85,32.0
MU,4.66,33.0
ADI,4.35,34.0
CDNS,4.24,35.0
VTR,4.19,36.0
MRNA,3.96,37.0
ISRG,3.93,38.0
JCI,3.88,39.0
NTAP,3.75,40.0
VNO,3.6,41.0
SO,3.53,42.0
ALL,3.4,43.0
GM,3.22,44.0
MMC,3.13,45.0
CDW,3.1,46.0
UDR,3.02,47.0
CCL,2.99,48.0
STZ,2.97,49.0
XLNX,2.9,50.0
SLB,2.72,51.0
APTV,2.64,52.0
HCA,2.57,53.0
CAH,2.54,54.0
OGN,2.47,55.0
LVS,2.41,56.0
LOW,2.29,57.0
FDX,2.23,58.0
LW,2.03,59.0
CB,1.82,60.0
CCI,1.58,61.0
WMT,1.48,62.0
TJX,1.42,63.0
AKAM,1.39,64.0
F,1.36,65.0
MET,1.32,66.0
SRE,1.29,67.0
DOW,1.1,68.0
MRK,1.07,69.0
UAA,1.06,70.0
XEL,0.86,71.0
FB,0.78,72.0
AON,0.73,73.0
AAL,0.69,74.0
SBUX,0.64,75.5
HAL,0.64,75.5
DRI,0.63,77.0
NOW,0.58,79.0
APA,0.58,79.0
KLAC,0.58,79.0
HON,0.41,81.0
OTIS,0.21,82.0
NSC,0.06,83.0
IRM,-0.0,84.0
HES,-0.08,85.0
ENPH,-0.12,86.5
IP,-0.12,86.5
GILD,-0.17,88.0
DISCA,-0.24,89.0
PEP,-0.3,90.0
DRE,-0.33,91.0
CTRA,-0.37,92.0
WELL,-0.41,93.0
EXC,-0.43,94.0
BEN,-0.45,95.0
CAG,-0.46,96.0
DUK,-0.5,97.0
TAP,-0.56,98.0
LUV,-0.82,99.0
BMY,-1.06,100.5
DIS,-1.06,100.5
CZR,-1.18,102.0
MDLZ,-1.19,103.0
ATVI,-1.23,104.0
MSFT,-1.24,105.0
YUM,-1.31,106.0
TRV,-1.32,107.0
NUE,-1.36,108.0
MGM,-1.45,109.0
WLTW,-1.47,110.0
PFE,-1.49,111.0
BBY,-1.59,112.0
NWL,-1.64,113.0
D,-1.86,114.0
ADBE,-1.97,115.0
DFS,-2.04,116.0
