Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,105.57,1.0
CRM,56.38,2.0
AVGO,32.89,3.0
NVDA,20.4,4.0
V,14.96,5.0
NFLX,13.04,6.0
TXN,12.12,7.0
FANG,10.81,8.0
SCHW,9.99,9.0
AMD,9.36,10.0
MAR,9.05,11.0
UPS,8.68,12.0
GS,8.5,13.0
COP,7.37,14.0
MOS,6.88,15.0
DVN,6.74,16.0
RTX,6.53,17.0
BWA,6.41,18.0
CF,6.15,19.0
FISV,6.06,20.0
ICE,5.93,21.0
GIS,4.94,22.0
BAC,4.62,23.0
CTSH,4.23,24.0
USB,3.99,25.0
AAPL,3.26,26.0
GM,2.54,27.0
HRL,2.44,28.0
APA,2.14,29.0
RF,2.13,30.0
FAST,1.82,31.0
MMC,1.27,32.0
MRO,0.98,33.0
XEL,0.97,34.0
EA,0.93,35.0
WY,0.78,36.0
CFG,0.76,37.0
FOXA,0.72,38.0
HAL,0.67,39.0
CSX,0.55,40.0
CNC,0.41,41.0
WFC,0.34,42.0
VLO,0.07,43.5
EOG,0.07,43.5
F,0.01,45.0
KEY,-0.19,47.0
XOM,-0.19,47.0
PNC,-0.19,47.0
MGM,-0.26,49.0
LVS,-0.29,50.0
FITB,-0.51,51.0
HBAN,-0.62,52.0
WMB,-0.8,53.0
PBCT,-1.06,54.0
HPE,-1.08,55.0
KMI,-1.2,56.0
TFC,-1.39,57.0
BK,-1.69,58.5
OXY,-1.69,58.5
LUMN,-1.83,60.0
MDLZ,-2.22,61.0
INTC,-2.25,62.0
NKE,-2.26,63.0
PEAK,-2.38,64.0
UAL,-2.43,65.0
DISCK,-2.46,66.0
PHM,-2.53,67.0
NEM,-2.66,68.0
MPC,-3.01,69.0
AES,-3.08,70.0
NI,-3.61,71.0
FCX,-3.63,72.0
WYNN,-3.65,73.0
NCLH,-3.85,74.0
CTRA,-3.96,75.0
JNPR,-4.04,76.0
HPQ,-4.16,77.0
MSFT,-4.32,78.0
HST,-4.35,79.0
WBA,-4.39,80.0
KHC,-4.42,81.0
VFC,-4.44,82.0
AAL,-4.48,83.0
VTRS,-4.53,84.0
ADI,-4.71,85.0
CNP,-4.74,86.0
CVS,-4.76,87.0
HBI,-4.86,88.0
DISCA,-5.1,89.0
UAA,-5.14,90.0
EBAY,-5.27,91.0
WU,-5.52,92.0
KIM,-5.54,93.0
DAL,-5.6,94.0
CAG,-5.62,95.0
ABBV,-5.66,96.0
GE,-5.93,97.0
CCL,-6.0,98.0
AIG,-6.05,99.0
GLW,-6.15,100.0
AXP,-6.67,101.0
IP,-6.9,102.0
WDC,-6.94,103.0
IVZ,-6.95,104.0
C,-7.06,105.0
ORCL,-7.24,106.0
CMCSA,-7.37,107.0
CVX,-7.58,108.0
MU,-7.62,109.0
PFE,-7.78,110.0
HWM,-7.89,111.0
LUV,-7.98,112.0
T,-8.04,113.0
BSX,-8.27,114.0
GPS,-8.37,115.5
CSCO,-8.37,115.5
EXC,-8.78,117.0
AMAT,-8.93,118.0
BBWI,-9.41,119.0
PPL,-9.42,120.0
SYF,-9.67,121.0
VIAC,-10.41,122.0
O,-10.57,123.0
FIS,-10.73,124.0
HSY,-10.93,125.0
IBM,-11.03,126.0
BMY,-11.23,127.0
MCHP,-11.36,128.0
FE,-11.39,129.0
BEN,-11.61,130.0
MO,-11.63,131.0
DHI,-11.81,132.0
MRNA,-11.84,133.0
ATVI,-12.0,134.0
VZ,-12.07,135.0
JNJ,-12.2,136.0
MET,-13.0,137.0
PEG,-13.13,138.0
PEP,-13.51,139.0
KR,-13.76,140.5
NUE,-13.76,140.5
JPM,-14.13,142.0
TGT,-14.39,143.0
PM,-14.6,144.0
SPG,-15.1,145.0
GILD,-15.18,146.0
LOW,-15.28,147.0
VTR,-15.54,148.0
CERN,-15.95,149.0
UNP,-15.97,150.0
EMR,-16.31,151.0
MS,-16.45,152.0
KO,-16.56,153.0
PGR,-16.7,154.0
AFL,-17.03,155.0
EIX,-17.11,156.0
PLD,-18.08,157.0
PNW,-18.2,158.0
SBUX,-18.44,159.0
CL,-18.72,160.0
HD,-18.78,161.0
PYPL,-19.58,162.0
PENN,-19.85,163.0
NEE,-20.01,164.0
RCL,-20.14,165.0
QCOM,-20.19,166.0
CZR,-20.26,167.0
SO,-21.17,168.0
PG,-21.57,169.0
COF,-21.83,170.0
STT,-22.13,171.0
DUK,-23.36,172.0
D,-24.12,173.0
TMUS,-24.18,174.0
MDT,-24.31,175.0
MA,-24.36,176.0
TJX,-26.49,177.0
FB,-28.86,178.0
MNST,-29.44,179.0
CAT,-29.8,180.0
MRK,-30.43,181.0
TROW,-31.05,182.0
MCD,-31.31,183.0
AMZN,-32.27,184.0
LLY,-32.34,185.0
ABT,-32.72,186.0
ED,-35.65,187.0
AMGN,-38.24,188.0
WMT,-41.47,189.0
UNH,-43.72,190.0
DIS,-46.74,191.0
AMT,-47.06,192.0
DGX,-52.79,193.0
BA,-63.71,194.0
FDX,-72.42,195.0
DHR,-78.56,196.0
