Stock,Accumulation/Distribution Value,Stocks_Ranked
ADM,21.71,1.0
EXPD,20.7,2.0
NRG,10.91,3.0
LEN,9.94,4.0
ADP,9.67,5.0
MDLZ,9.47,6.0
UAL,7.52,7.0
WFC,7.34,8.0
UAA,7.19,9.0
PFE,7.06,10.0
UPS,6.91,11.0
SWKS,6.59,12.0
NLSN,6.48,13.0
TMUS,6.31,14.0
CBRE,6.22,15.0
NOW,6.21,16.0
TTWO,6.13,17.0
CRM,5.52,18.0
D,4.59,19.0
ACN,4.53,20.5
TWTR,4.53,20.5
BA,4.24,22.0
COP,4.05,23.0
O,3.56,24.0
DXC,3.13,25.0
TSN,2.85,26.0
WMB,2.72,27.0
CAH,2.47,28.0
MO,2.07,29.0
HBAN,2.06,30.0
ETN,1.95,31.0
BSX,1.88,32.0
OTIS,1.8,33.0
PLD,1.74,34.0
NUE,1.71,35.0
BK,1.51,36.0
VNO,1.39,37.0
LOW,1.38,38.0
DOW,1.31,39.0
KHC,1.13,40.0
DAL,1.08,41.0
VFC,1.01,42.0
PEG,0.78,43.0
WYNN,0.67,44.0
WY,0.66,45.0
EOG,0.49,46.0
HD,0.41,47.0
AIG,-0.03,48.0
PAYX,-0.05,49.0
CSX,-0.08,50.0
AMGN,-0.18,51.0
CHTR,-0.23,52.0
YUM,-0.24,53.0
ABT,-0.32,54.0
HWM,-0.33,55.0
AMAT,-0.57,56.5
CVX,-0.57,56.5
CCL,-0.79,58.0
KIM,-0.81,59.0
WBA,-0.95,60.0
OKE,-0.99,61.0
DISH,-1.18,62.0
AAL,-1.21,63.0
BLL,-1.27,64.0
TSLA,-1.44,65.0
UA,-1.52,66.0
JNJ,-1.58,67.0
EXC,-1.64,68.5
MRNA,-1.64,68.5
PARA,-1.74,70.0
SPGI,-1.75,71.0
APA,-1.78,72.0
MCHP,-1.82,73.0
PEAK,-1.87,74.0
PYPL,-1.92,75.0
MNST,-1.94,76.5
ABBV,-1.94,76.5
K,-1.98,78.0
NLOK,-1.99,79.0
OXY,-2.19,80.0
GE,-2.21,81.0
INTC,-2.24,82.0
TFC,-2.25,83.0
RTX,-2.31,84.0
EMR,-2.34,85.0
PPL,-2.35,86.0
PM,-2.37,87.0
CTRA,-2.47,88.0
WBD,-2.67,89.0
SBUX,-2.73,90.0
CTVA,-2.91,91.0
FISV,-2.99,92.0
ADSK,-3.09,93.0
COST,-3.14,94.0
BKR,-3.15,95.5
LYB,-3.15,95.5
KMI,-3.16,97.0
MS,-3.21,98.0
ANET,-3.3,99.0
HPE,-3.33,100.0
BAX,-3.34,101.0
GM,-3.55,102.0
STT,-3.58,103.0
JPM,-3.6,104.0
EXPE,-3.65,105.0
NI,-3.67,106.0
PSX,-3.79,107.0
CMCSA,-3.8,108.0
NXPI,-4.25,109.0
ROST,-4.35,110.0
INTU,-4.39,111.0
ILMN,-4.43,112.0
LLY,-4.5,113.0
JNPR,-4.53,114.0
AKAM,-4.66,115.0
WMT,-4.72,116.0
VTRS,-4.73,117.0
GLW,-4.81,118.0
DUK,-4.85,119.0
AMCR,-4.86,120.0
GILD,-4.97,121.0
AMZN,-5.06,122.0
ISRG,-5.17,123.0
BMY,-5.2,124.0
HAL,-5.31,125.0
DIS,-5.39,126.0
KEY,-5.48,127.0
MRK,-5.63,128.0
WELL,-5.7,129.0
ZTS,-5.73,130.0
PHM,-5.87,131.0
APH,-5.92,132.0
VRTX,-5.99,133.0
MOS,-6.25,134.0
IR,-6.54,135.5
AMT,-6.54,135.5
FOXA,-6.56,137.0
FE,-6.64,138.0
AFL,-6.92,139.0
CL,-7.04,140.0
CNP,-7.13,141.0
CARR,-7.16,142.0
FAST,-7.44,143.0
CSCO,-7.57,144.0
F,-7.6,145.0
DRE,-7.65,146.0
NKE,-7.66,147.0
AAPL,-7.68,148.0
DVN,-7.77,149.0
ORCL,-7.79,150.0
T,-8.05,151.0
VZ,-8.18,152.0
MAR,-8.34,153.0
FITB,-8.44,154.0
CAG,-8.52,155.0
PG,-8.53,156.0
DHI,-8.67,157.0
WDC,-8.79,158.0
FCX,-8.84,159.5
GIS,-8.84,159.5
SCHW,-8.99,161.0
TXN,-9.04,162.0
CAT,-9.16,163.0
FANG,-9.61,164.0
AEP,-9.76,165.0
ICE,-9.8,166.0
FOX,-9.91,167.0
NVDA,-10.08,168.0
ADBE,-10.43,169.0
LVS,-10.55,170.0
EBAY,-10.69,171.0
ETSY,-10.72,172.0
PRU,-10.85,173.0
AVGO,-10.87,174.5
NWL,-10.87,174.5
RCL,-11.17,176.0
CF,-11.19,177.0
BAC,-11.2,178.0
QCOM,-11.55,179.0
LYV,-11.57,180.0
FIS,-11.71,181.0
IBM,-11.79,182.0
KO,-11.92,183.0
MU,-12.16,184.0
LUMN,-12.22,185.0
PGR,-12.26,186.0
BBWI,-12.27,187.0
FB,-12.77,188.0
EA,-13.07,189.0
HST,-13.33,190.0
CFG,-13.35,191.0
XRAY,-13.61,192.0
NCLH,-13.72,193.0
SPG,-14.04,194.0
USB,-14.27,195.0
ENPH,-14.48,196.0
UNP,-14.91,197.0
CNC,-15.04,198.0
IP,-17.05,199.0
XEL,-18.14,200.0
ATVI,-18.16,201.0
MPC,-18.55,202.0
UNH,-19.05,203.0
MGM,-19.25,204.0
PEP,-19.33,205.0
AXP,-19.62,206.0
JCI,-19.65,207.0
PENN,-19.84,208.0
BBY,-20.22,209.0
KMB,-20.48,210.0
IVZ,-20.92,211.0
V,-21.03,212.0
MCD,-21.86,213.0
SLB,-21.9,214.0
BEN,-22.22,215.0
PXD,-22.43,216.0
OGN,-23.7,217.0
KR,-23.88,218.0
DHR,-23.92,219.0
SYY,-24.08,220.0
TJX,-24.63,221.0
EW,-24.66,222.0
RF,-26.39,223.0
C,-26.68,224.0
MTCH,-27.11,225.0
NEE,-27.15,226.0
NEM,-28.06,227.0
WRK,-28.28,228.0
VLO,-29.63,229.0
CTSH,-29.67,230.0
MA,-30.45,231.0
NWSA,-30.88,232.0
HLT,-31.22,233.0
GS,-32.94,234.0
MDT,-33.28,235.0
SO,-35.46,236.0
HES,-38.35,237.0
DD,-40.16,238.0
TPR,-42.07,239.0
ADI,-44.89,240.0
AMD,-45.88,241.0
HON,-47.95,242.0
CZR,-48.73,243.0
MET,-56.28,244.0
PVH,-60.82,245.0
COF,-61.61,246.0
LUV,-63.85,247.0
CLX,-64.49,248.0
XOM,-71.78,249.0
IPG,-73.92,250.0
MSFT,-76.43,251.0
MMM,-76.73,252.0
CERN,-76.96,253.0
NFLX,-86.17,254.0
FTV,-96.7,255.0
CVS,-111.95,256.0
MRO,-112.38,257.0
SYF,-114.2,258.0
HPQ,-125.73,259.0
CPB,-251.6,260.0
TGT,-396.46,261.0
