Stock,Accumulation/Distribution Value,Stocks_Ranked
PYPL,35.16,1.0
KMI,34.78,2.0
CMCSA,29.28,3.0
TWTR,26.81,4.0
NEE,19.06,5.0
MPC,16.25,6.0
INTC,15.74,7.0
COP,14.58,8.0
ATVI,12.67,9.0
CERN,11.95,10.0
RTX,10.67,11.0
TSLA,10.5,12.0
CRM,9.53,13.0
KO,9.49,14.0
HST,9.38,15.0
TFC,9.37,16.0
AAL,8.77,17.0
VZ,7.4,18.0
CTRA,7.28,19.0
NKE,6.88,20.0
VIAC,6.68,21.0
ABBV,6.02,22.0
DISCA,5.88,23.0
CSCO,5.86,24.0
JNJ,4.66,25.0
TJX,4.57,26.0
KR,4.32,27.0
BAC,4.24,28.0
KHC,4.15,29.0
WU,3.7,30.0
MDLZ,3.28,31.0
LUV,3.09,32.0
MRO,3.01,33.0
ORCL,2.99,34.0
DIS,2.13,35.0
XOM,2.04,36.0
F,1.97,37.0
OXY,1.96,38.0
TGT,1.75,39.0
DOW,1.62,40.0
T,1.51,41.5
MRNA,1.51,41.5
DVN,1.18,43.0
WMB,0.98,44.0
SLB,0.92,45.0
ED,0.72,46.0
NEM,0.49,47.0
CF,0.4,48.0
CSX,0.23,49.0
MU,0.11,50.0
MGM,-0.06,51.0
BA,-0.13,52.0
NCLH,-0.21,53.0
JPM,-0.33,54.0
BMY,-0.66,55.0
AAPL,-0.74,56.0
RF,-0.9,57.0
CVX,-0.93,58.0
RCL,-1.03,59.0
BBWI,-1.2,60.0
GE,-1.33,61.0
HPE,-1.6,62.0
PFE,-1.73,63.0
UAL,-1.83,64.0
AMCR,-1.86,65.0
WBA,-1.95,66.0
MDT,-2.26,67.0
CFG,-2.45,68.0
VTRS,-2.76,69.0
MRK,-3.43,70.0
AMD,-3.52,71.0
ADBE,-3.59,72.0
LVS,-4.0,73.0
WMT,-4.03,74.0
HAL,-4.22,75.0
C,-4.59,76.0
HWM,-4.92,77.0
HPQ,-5.41,78.0
CVS,-5.44,79.5
FB,-5.44,79.5
MSFT,-5.53,81.0
CCL,-5.6,82.0
NVDA,-5.94,83.0
HBI,-5.97,84.0
WFC,-5.98,85.0
MOS,-6.24,86.0
MS,-6.28,87.0
AMAT,-6.94,88.0
DAL,-7.0,89.0
V,-7.15,90.0
GM,-7.81,91.0
PAYX,-8.19,92.0
KMX,-9.27,93.0
IBM,-9.3,94.0
HBAN,-9.47,95.0
UAA,-10.54,96.0
FCX,-10.58,97.0
BSX,-12.2,98.0
APA,-12.22,99.0
USB,-13.14,100.0
LUMN,-13.85,101.0
PG,-14.64,102.0
PENN,-15.59,103.0
GPS,-22.7,104.0
GIS,-24.09,105.0
KEY,-28.22,106.0
QCOM,-28.37,107.0
ABT,-32.64,108.0
EBAY,-41.32,109.0
MO,-43.05,110.0
GILD,-50.88,111.0
