Stock,Accumulation/Distribution Value,Stocks_Ranked
SYY,125.1,1.0
NI,72.48,2.0
TPR,35.2,3.0
CTRA,28.55,4.0
PENN,25.52,5.0
CF,23.89,6.0
WU,22.62,7.0
C,22.35,8.0
BBY,19.21,9.0
AMAT,17.96,10.0
D,17.03,11.0
CTSH,15.68,12.0
LUV,15.4,13.0
PG,13.98,14.0
HST,13.55,15.0
TJX,12.39,16.0
F,12.36,17.0
DOW,12.0,18.0
CNC,11.92,19.0
GLW,11.43,20.0
FB,10.89,21.0
IBM,10.84,22.0
NWSA,9.98,23.0
TMUS,9.24,24.0
HD,8.54,25.0
PM,8.33,26.0
CTVA,8.29,27.0
SCHW,7.44,28.0
EXPE,6.59,29.0
NLOK,6.57,30.0
FIS,6.16,31.0
GE,5.92,32.0
NFLX,5.59,33.0
WEC,5.35,34.0
FOXA,5.29,35.0
UNH,5.13,36.0
AMD,4.79,37.0
AMZN,4.74,38.0
WMB,4.52,39.0
NCLH,4.36,40.5
ANET,4.36,40.5
PFE,4.26,42.0
SBUX,3.89,43.0
DUK,3.85,44.0
PLD,3.65,45.0
ALL,3.52,46.0
KO,3.38,47.0
MCD,2.05,48.0
BMY,1.75,49.0
PBCT,1.33,50.0
ABBV,1.3,51.0
INTU,1.28,52.0
APA,1.26,53.0
BKR,0.96,54.0
DHI,0.95,55.0
LEN,0.81,56.0
BA,0.76,57.0
MDT,0.74,58.0
OMC,0.73,59.0
MET,0.64,60.5
FCX,0.64,60.5
UA,0.55,62.0
FISV,0.52,63.0
PPL,0.27,64.0
NRG,0.14,65.5
AFL,0.14,65.5
ABT,0.09,67.0
ACN,-0.03,68.0
EBAY,-0.17,69.0
MSFT,-0.38,70.5
TGT,-0.38,70.5
TSLA,-0.48,72.0
WDC,-0.65,73.0
PEP,-0.7,74.0
ADBE,-0.74,75.5
WBA,-0.74,75.5
XRAY,-0.85,77.0
LOW,-0.91,78.0
PXD,-0.94,79.0
MNST,-1.06,80.0
BBWI,-1.08,81.0
CERN,-1.09,82.5
JCI,-1.09,82.5
IVZ,-1.12,84.0
NUE,-1.24,85.0
XEL,-1.31,86.0
HON,-1.32,87.0
CSX,-1.38,88.0
MGM,-1.41,89.0
DISCA,-1.63,90.0
SO,-1.64,91.0
DAL,-1.78,92.0
TXN,-1.86,93.0
EOG,-1.96,94.0
CARR,-2.23,95.0
JNPR,-2.32,96.0
EMR,-2.34,97.0
KEY,-2.52,98.0
INTC,-2.57,99.0
PGR,-2.59,100.0
EMN,-2.62,101.0
AAPL,-2.65,102.0
O,-2.69,103.0
HPE,-2.75,104.0
QCOM,-2.77,105.0
WELL,-3.07,106.0
CI,-3.16,107.0
IR,-3.17,108.0
IP,-3.23,109.0
AXP,-3.24,110.0
VTRS,-3.28,111.0
XOM,-3.33,112.0
CPB,-3.37,113.0
FITB,-3.39,114.0
LVS,-3.58,115.0
EA,-3.64,116.0
CVX,-3.8,117.0
IPG,-3.81,118.0
MO,-3.94,119.0
DLTR,-4.36,120.0
AAL,-4.42,121.0
AES,-4.47,122.0
VTR,-4.51,123.0
CL,-4.53,124.0
XLNX,-4.57,125.0
PEAK,-4.61,126.0
MRO,-4.62,127.0
COF,-4.64,128.0
SYF,-4.69,129.0
KHC,-4.83,130.0
HRL,-4.85,131.0
DIS,-4.98,132.0
GPS,-5.12,133.0
MRNA,-5.37,134.0
COP,-5.68,135.0
ORCL,-5.76,136.0
KR,-5.82,137.0
AMGN,-6.06,138.0
BEN,-6.14,139.0
HBAN,-6.34,140.0
GS,-6.42,141.0
ED,-6.44,142.0
WMT,-6.48,143.0
ZBH,-6.52,144.0
RF,-6.57,145.0
NLSN,-6.91,146.0
MOS,-6.92,147.0
JPM,-6.99,148.0
AMCR,-7.03,149.0
PSX,-7.3,150.0
WM,-7.4,151.0
MU,-7.53,152.0
MA,-7.66,153.0
NVDA,-7.68,154.0
CAH,-7.72,155.0
AIG,-7.83,156.0
AVGO,-7.91,157.0
NEM,-8.13,158.0
FAST,-8.23,159.5
UAL,-8.23,159.5
HBI,-8.63,161.0
LUMN,-8.7,162.0
UNP,-8.82,163.0
PCAR,-8.91,164.5
MTCH,-8.91,164.5
FE,-8.92,166.0
WYNN,-8.94,167.0
ETSY,-9.0,168.0
MS,-9.06,169.0
CAG,-9.22,170.0
ATVI,-9.32,171.0
LYB,-9.62,172.0
GM,-9.69,173.0
T,-9.86,174.0
MRK,-9.87,175.0
AEP,-9.92,176.0
V,-10.21,177.0
CNP,-10.31,178.0
BAC,-11.18,179.0
COST,-11.37,180.0
EXC,-11.69,181.0
DVN,-11.88,182.0
IRM,-11.98,183.0
BK,-12.04,184.0
LYV,-12.06,185.0
ADI,-12.16,186.0
WY,-12.32,187.0
EW,-12.4,188.0
USB,-12.45,189.0
UPS,-12.51,190.0
