Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,58.6,1.0
CRM,43.73,2.0
NVDA,31.42,3.0
NFLX,20.13,4.0
AAPL,17.91,5.0
AMD,14.93,6.0
SCHW,12.09,7.0
MSFT,9.16,8.0
COP,8.93,9.0
MOS,7.44,10.0
DVN,6.83,11.0
XOM,4.84,12.0
WFC,4.38,13.0
RF,4.22,14.0
BAC,3.74,15.0
CSX,3.42,16.0
GM,3.35,17.0
CVX,3.33,18.0
GE,3.3,19.0
ORCL,2.58,20.0
KEY,2.29,21.0
APA,1.32,22.0
MRO,1.29,23.0
HAL,0.61,24.0
HBAN,0.57,25.0
FCX,0.16,26.0
WMB,0.06,27.0
KMI,-0.05,28.0
F,-0.25,29.0
INTC,-0.63,30.0
OXY,-1.09,31.0
SYF,-1.17,32.0
HPE,-1.3,33.0
PG,-1.5,34.0
CSCO,-1.75,35.0
LUMN,-1.87,36.0
VTRS,-2.96,37.0
CTRA,-3.53,38.0
C,-3.63,39.0
WU,-3.88,40.0
JPM,-4.09,41.0
DISCA,-4.37,42.0
NCLH,-4.46,43.0
UAL,-4.51,44.0
AAL,-4.95,45.0
LVS,-4.98,46.0
DAL,-5.32,47.0
CMCSA,-5.57,48.0
GPS,-5.91,49.0
PFE,-6.44,50.0
T,-6.45,51.0
CCL,-6.97,52.0
BSX,-8.08,53.0
MU,-8.38,54.0
EBAY,-8.75,55.0
VZ,-9.1,56.0
LUV,-9.18,57.0
CAH,-9.51,58.0
VIAC,-9.62,59.0
CL,-9.93,60.0
NEE,-10.33,61.0
SBUX,-10.95,62.0
KO,-12.47,63.0
MS,-12.71,64.0
PENN,-13.21,65.0
JNJ,-15.11,66.0
BMY,-15.39,67.0
FB,-18.26,68.0
PYPL,-24.66,69.0
ABT,-29.74,70.0
MRK,-32.28,71.0
WMT,-33.02,72.0
MRNA,-33.54,73.0
DIS,-40.71,74.0
BA,-46.78,75.0
