Stock,Accumulation/Distribution Value,Stocks_Ranked
TSLA,69.95,1.0
NVDA,28.78,2.0
AMD,14.45,3.0
AAPL,11.24,4.0
COP,10.5,5.0
DVN,9.09,6.0
MSFT,7.61,7.0
GM,3.85,8.0
BAC,3.51,9.0
XOM,3.22,10.0
CSX,3.02,11.0
APA,2.11,12.0
MRO,1.87,13.0
ORCL,1.18,14.0
HAL,1.17,15.0
WFC,0.79,16.0
KMI,0.15,17.0
HBAN,-0.21,18.0
F,-0.29,19.0
OXY,-1.12,20.0
UAL,-1.57,21.0
FCX,-1.75,22.0
C,-2.57,23.0
CVX,-3.01,24.0
CTRA,-3.96,25.0
HPQ,-4.08,26.0
VTRS,-4.12,27.0
NCLH,-4.31,28.0
PG,-4.49,29.0
CSCO,-4.55,30.0
AAL,-4.65,31.0
INTC,-4.91,32.0
DAL,-4.92,33.0
WBA,-6.1,34.0
CCL,-6.6,35.0
JPM,-6.98,36.0
T,-7.27,37.0
CMCSA,-7.49,38.0
PFE,-8.5,39.0
VIAC,-9.75,40.0
MS,-10.95,41.0
ABBV,-11.18,42.0
MU,-11.64,43.0
VZ,-11.83,44.0
KO,-13.48,45.0
BMY,-16.61,46.0
MDT,-19.32,47.0
FB,-24.11,48.0
MRNA,-28.68,49.0
MRK,-36.77,50.0
DIS,-46.38,51.0
BA,-56.03,52.0
