Stock,Accumulation/Distribution Value,Stocks_Ranked
PM,479.21,1.0
F,196.95,2.0
ADI,87.82,3.0
QCOM,72.69,4.0
APA,66.82,5.0
CL,56.77,6.0
SWK,56.01,7.0
WELL,55.73,8.0
NEE,54.68,9.0
TMUS,52.69,10.0
BBWI,52.43,11.0
SRE,50.38,12.0
AES,46.51,13.0
HAL,43.74,14.0
DISCA,43.49,15.0
MET,40.77,16.0
MRK,36.21,17.0
HD,34.68,18.0
MPC,33.35,19.0
MU,33.18,20.0
IVZ,28.99,21.0
MDLZ,28.35,22.0
HPQ,27.91,23.0
PPL,27.87,24.0
COP,27.08,25.0
PLD,27.04,26.0
PFE,26.22,27.0
JPM,26.03,28.0
TEL,25.64,29.0
WYNN,24.9,30.0
WFC,24.32,31.0
KIM,24.18,32.0
MA,23.93,33.0
IPG,22.24,34.0
ZTS,22.17,35.0
C,22.05,36.0
NLSN,22.03,37.0
FDX,21.75,38.0
CRM,21.6,39.0
TFC,20.72,40.0
XOM,20.45,41.0
DHI,19.59,42.0
HBAN,19.36,43.0
CAG,19.35,44.0
IBM,19.12,45.0
MDT,18.74,46.0
ADM,18.47,47.0
AEP,17.9,48.0
PEAK,17.13,49.0
SO,17.06,50.0
KEY,16.45,51.0
LOW,16.22,52.0
HON,15.09,53.0
ALL,14.78,54.0
BAX,14.07,55.0
UA,13.92,56.0
FB,13.55,57.0
GS,13.31,58.0
CFG,13.14,59.0
XEL,12.87,60.0
NKE,12.41,61.0
MCHP,12.13,62.0
GM,12.06,63.0
GE,12.01,64.0
DAL,11.71,65.0
FE,11.21,66.0
OXY,11.02,67.0
CMCSA,10.99,68.0
V,10.94,69.0
TSLA,10.91,70.0
CNP,10.89,71.0
MAS,10.88,72.0
GIS,10.82,73.0
SLB,10.53,74.0
MCD,10.19,75.0
INTC,10.01,76.0
DOW,9.97,77.0
IP,9.95,78.0
MO,9.86,79.0
BMY,9.81,80.0
LUMN,9.74,81.0
NTAP,9.7,82.0
DUK,9.67,83.0
NRG,9.6,84.0
HES,9.56,85.0
ABT,9.44,86.0
ETSY,9.41,87.0
KR,9.26,88.0
CTRA,9.21,89.0
BSX,8.46,90.0
PG,8.14,91.0
SBUX,7.87,92.0
MOS,7.86,93.0
CVS,7.66,94.0
ECL,7.5,95.0
CARR,7.2,96.0
APH,6.75,97.0
JNJ,6.64,98.0
HPE,5.96,99.0
EOG,5.91,100.0
TXN,5.81,101.0
VTRS,5.79,102.0
AXP,5.72,103.0
WRK,5.54,104.0
VFC,5.51,105.0
NWSA,5.48,106.0
PXD,5.37,107.0
TWTR,5.29,108.0
VLO,5.18,109.0
PYPL,5.17,110.0
PARA,5.03,111.0
MRO,4.87,112.0
LVS,4.8,113.0
NVDA,4.64,114.0
USB,4.6,115.0
CCL,4.31,116.0
CVX,4.14,117.0
AMCR,3.92,118.0
TSN,3.62,119.0
LUV,3.58,120.0
AMAT,3.57,121.0
BRO,3.43,122.0
EXC,3.3,123.0
WMB,3.27,124.0
DVN,3.21,125.0
ADBE,3.14,126.0
MGM,3.13,127.0
WY,3.11,128.0
FOXA,2.97,129.0
VZ,2.74,130.5
GILD,2.74,130.5
FCX,2.72,132.0
NI,2.68,133.0
BAC,2.66,134.0
BK,2.65,135.0
MSFT,2.45,136.0
CF,2.35,137.0
ABBV,2.24,138.0
DIS,1.92,139.0
UAA,1.91,140.0
FISV,1.88,141.0
AAL,1.84,142.0
RCL,1.77,143.0
BKR,1.69,144.0
WMT,1.67,145.0
SYF,1.43,146.0
OTIS,1.36,147.0
MTCH,1.29,148.0
JCI,1.27,149.0
EW,1.25,150.0
TGT,1.23,151.0
CTSH,1.18,152.0
WBA,1.16,153.0
T,1.1,154.0
NFLX,0.93,155.0
JNPR,0.65,156.0
AAPL,0.56,157.0
CB,0.55,158.0
CTVA,0.48,159.0
UNH,0.37,160.0
HWM,0.27,161.0
MMM,0.22,162.5
PENN,0.22,162.5
PBCT,0.05,164.0
XRAY,-0.23,165.0
MNST,-0.25,166.0
NLOK,-0.27,167.5
MS,-0.27,167.5
CAT,-0.31,169.0
KMI,-0.43,170.0
EXPE,-0.45,171.0
ATVI,-0.61,172.5
TJX,-0.61,172.5
EMR,-0.71,174.0
FANG,-0.79,175.0
EBAY,-0.87,176.0
NEM,-0.92,177.0
RF,-1.01,178.0
PRU,-1.4,179.0
CSCO,-1.43,180.0
NXPI,-1.47,181.0
AMD,-1.51,182.0
GLW,-1.54,183.0
BA,-1.93,184.0
CNC,-1.99,185.0
FITB,-2.32,186.0
O,-2.58,187.0
COF,-2.72,188.0
CAH,-2.82,189.0
CSX,-2.85,190.0
DHR,-2.92,191.0
AFL,-2.97,192.0
KHC,-3.17,193.0
HST,-3.43,194.0
LLY,-3.94,195.0
NCLH,-4.26,196.0
KO,-4.5,197.0
BBY,-4.6,198.0
SCHW,-5.27,199.0
DISCK,-5.54,200.0
TPR,-5.63,201.0
PEP,-6.02,202.0
AMZN,-6.4,203.0
FAST,-6.95,204.0
UNP,-6.99,205.0
SPG,-7.91,206.0
ORCL,-14.13,207.0
RTX,-14.39,208.0
AIG,-16.39,209.0
NUE,-16.85,210.0
PSX,-18.61,211.0
UAL,-21.06,212.0
MRNA,-26.82,213.0
