Stock,Accumulation/Distribution Value,Stocks_Ranked
KHC,57.07,1.0
HRL,37.13,2.0
HON,24.27,3.0
EIX,20.59,4.0
JNJ,18.42,5.0
CAG,17.76,6.0
NCLH,17.65,7.0
GE,16.51,8.0
TSLA,14.59,9.0
LNC,14.52,10.0
UAA,14.12,11.0
INTC,14.06,12.0
FCX,13.19,13.0
HLT,13.08,14.0
PG,11.29,15.0
WMT,8.17,16.0
RCL,7.7,17.0
DLTR,7.62,18.0
FANG,6.05,19.0
ORCL,5.54,20.0
IR,5.1,21.0
ADSK,4.48,22.0
ABT,4.33,23.0
SWKS,4.18,24.0
V,4.04,25.0
CTVA,3.07,26.0
F,2.69,27.0
NI,2.68,28.0
DVN,2.51,29.0
MRK,2.47,30.0
FAST,2.43,31.0
MCHP,2.4,32.0
WU,2.18,33.0
MS,1.91,34.0
LVS,1.73,35.0
BSX,1.6,36.0
HPE,1.54,37.0
NFLX,1.23,38.0
IVZ,1.18,39.0
LLY,1.13,40.0
VRTX,1.08,41.0
DISH,0.89,42.0
JNPR,0.74,43.0
HBAN,0.69,44.5
AMCR,0.69,44.5
COF,0.64,46.0
JPM,0.25,47.0
AES,0.13,48.0
RTX,-0.01,49.0
CRM,-0.07,50.0
DG,-0.2,51.0
VTR,-0.22,52.0
BAC,-0.25,53.0
PGR,-0.28,54.0
NLOK,-0.42,55.0
LUMN,-0.43,56.0
EBAY,-0.47,57.5
HST,-0.47,57.5
MRNA,-0.68,59.0
APA,-0.76,60.0
CCL,-0.79,61.0
WBA,-0.81,62.0
BAX,-0.82,63.0
MMM,-0.83,64.0
MPC,-0.88,65.0
LW,-0.9,66.0
ABBV,-0.96,67.0
CTRA,-1.0,68.0
GS,-1.05,69.0
XOM,-1.1,70.0
IBM,-1.13,71.0
CZR,-1.35,72.0
UNP,-1.41,73.0
HPQ,-1.44,74.0
SYF,-1.5,75.0
EA,-1.54,76.0
LYB,-1.61,77.0
CL,-1.72,78.0
AIG,-1.74,79.0
PYPL,-1.8,80.0
CTSH,-1.82,81.0
STT,-1.97,82.0
PSX,-2.01,83.0
ADI,-2.06,84.0
VLO,-2.11,85.0
OGN,-2.14,86.0
LYV,-2.26,87.0
MO,-2.4,88.0
ICE,-2.63,89.0
AMD,-2.66,90.0
TFC,-2.73,91.0
AAPL,-2.83,92.0
CFG,-2.92,93.0
GIS,-3.07,94.0
CAH,-3.17,95.0
IPG,-3.33,96.0
WYNN,-3.35,97.0
KEY,-3.53,98.5
TJX,-3.53,98.5
GPS,-3.6,100.0
PPL,-3.63,101.0
DHI,-3.93,102.0
MA,-4.02,103.0
D,-4.07,104.0
CMCSA,-4.1,105.0
PEP,-4.11,106.0
NVDA,-4.12,107.0
FITB,-4.14,108.0
ANET,-4.2,109.0
MRO,-4.26,110.0
KR,-4.32,111.0
CVS,-4.4,112.0
LUV,-4.46,113.0
BMY,-4.56,114.0
COP,-4.59,115.0
AMGN,-4.65,116.0
OXY,-4.67,117.0
