Stock,Accumulation/Distribution Value,Stocks_Ranked
AAL,4737502,1.0
MRO,4282278,2.0
T,4180623,3.0
F,3764772,4.0
CCL,3262632,5.0
KMI,3163038,6.0
LUMN,3056828,7.0
HBAN,2792878,8.0
AAPL,2298018,9.0
BAC,2175789,10.0
APA,2123496,11.0
PFE,2102811,12.0
FCX,1880169,13.0
CSX,1798108,14.0
NCLH,1733024,15.0
MRK,1644830,16.0
INTC,1635605,17.0
GM,1548016,18.0
XOM,1516617,19.0
CMCSA,1453170,20.0
HBI,1450522,21.0
WMB,1369552,22.0
GPS,1338713,23.0
OXY,1309861,24.0
VZ,1304538,25.0
HST,1286252,26.0
KEY,1176899,27.0
DVN,1097086,28.0
DAL,1040680,29.0
UAL,1004975,30.0
MO,1003172,31.0
PPL,963966,32.0
CTRA,934438,33.0
BMY,912533,34.0
IVZ,891932,35.0
VTRS,891436,36.0
HAL,841227,37.0
WFC,814065,38.0
KO,793232,39.0
KIM,730997,40.0
CNP,711766,41.0
KR,699854,42.0
C,687161,43.0
LVS,684741,44.0
PBCT,627278,45.0
LUV,599750,46.0
BSX,599290,47.0
ORCL,588239,48.0
COP,581368,49.0
MGM,538172,50.0
AMD,531972,51.0
CSCO,521463,52.0
MPC,511730,53.0
EXC,506593,54.0
MDLZ,501436,55.0
MOS,482403,56.0
RF,477172,57.0
DISCA,473300,58.0
NI,466984,59.0
WU,459800,60.0
CVX,451896,61.0
NVDA,436067,62.0
VIAC,435477,63.0
AES,423055,64.0
WY,404838,65.0
HPE,403215,66.0
BEN,401256,67.0
HPQ,388953,68.0
KHC,383871,69.0
MSFT,377511,70.0
USB,374320,71.0
MS,367773,72.0
FITB,361801,73.0
UAA,358372,74.0
SCHW,357657,75.0
SYF,353804,76.0
WBA,350956,77.0
GLW,344037,78.0
SO,326920,79.0
D,320292,80.0
FB,320021,81.0
GILD,318205,82.0
TJX,314545,83.0
TFC,302462,84.0
BK,297151,85.0
PENN,293972,86.0
GE,284361,87.0
EOG,273265,88.0
IPG,270456,89.0
NEE,266581,90.0
CAG,259902,91.0
MET,248005,92.0
NEM,234327,93.0
QCOM,226182,94.0
EBAY,209344,95.0
JPM,201822,96.0
CNC,200310,97.0
SBUX,200124,98.0
FAST,195928,99.0
ATVI,195540,100.0
RTX,194914,101.0
PSX,184891,102.0
PM,181864,103.0
GIS,178528,104.0
CVS,155145,105.0
VLO,153820,106.0
MDT,151469,107.0
SYY,149133,108.0
K,145462,109.0
TMUS,145085,110.0
WYNN,144763,111.0
FANG,144723,112.0
DIS,143777,113.0
BA,143459,114.0
VFC,140439,115.0
CFG,140381,116.0
BAX,139267,117.0
ABBV,138711,118.0
V,138159,119.0
NKE,128120,120.0
CL,127950,121.0
IP,121600,122.0
PNW,119233,123.0
MRNA,117172,124.0
IBM,109203,125.0
WMT,108178,126.0
JNJ,100023,127.0
RCL,91064,128.0
AMAT,90144,129.0
FDX,84566,130.0
ABT,83355,131.0
ADI,81997,132.0
UNP,79190,133.0
PEP,77301,134.0
FISV,77280,135.0
HES,76167,136.0
MMM,72573,137.0
CAT,70944,138.0
PYPL,70813,139.0
EMR,70301,140.0
TXN,69425,141.0
AXP,69302,142.0
DISCK,69189,143.0
TSLA,64184,144.0
LOW,60506,145.0
PXD,56962,146.0
PG,55594,147.0
NUE,48600,148.0
UPS,48369,149.0
CRM,47843,150.0
LLY,44029,151.0
CTXS,37802,152.0
HD,31223,153.0
NFLX,27924,154.0
MU,20613,155.0
AMGN,16275,156.0
