Stock,Accumulation/Distribution Value,Stocks_Ranked
EOG,388.7,1.0
APTV,132.33,2.0
USB,106.67,3.0
AMGN,63.37,4.0
APA,61.77,5.0
GIS,60.63,6.0
PXD,56.58,7.0
NFLX,55.14,8.0
ABBV,51.65,9.0
HAL,50.77,10.0
LEN,48.74,11.0
BSX,42.5,12.0
EBAY,40.66,13.0
AEP,37.52,14.0
TJX,37.38,15.0
HD,36.91,16.0
SPG,36.25,17.0
UNH,36.15,18.0
CSX,33.17,19.0
CTRA,32.72,20.0
V,29.76,21.0
NKE,29.24,22.0
COP,28.49,23.0
WMB,26.21,24.0
FISV,25.42,25.0
BBWI,25.36,26.0
BK,24.67,27.0
XOM,23.98,28.0
COST,23.76,29.0
PBCT,23.42,30.0
NLSN,23.4,31.0
BAC,22.19,32.0
DISCA,21.58,33.0
TWTR,20.51,34.0
FB,20.05,35.0
CAH,19.36,36.0
AMZN,19.33,37.0
PM,18.86,38.0
TXN,18.72,39.0
COF,18.22,40.0
RF,17.93,41.0
CMCSA,17.91,42.0
ETSY,17.58,43.0
DHI,16.9,44.0
LVS,16.73,45.0
MRK,16.57,46.0
GE,15.5,47.0
BEN,15.23,48.0
HBAN,15.02,49.0
HON,14.63,50.0
VLO,14.53,51.0
VZ,13.41,52.0
ADM,13.4,53.0
TGT,13.38,54.0
AIG,13.15,55.0
KIM,13.13,56.0
MET,13.04,57.0
KO,12.27,58.0
UA,10.76,59.0
QCOM,10.57,60.0
CVS,10.4,61.0
ORCL,10.06,62.0
KHC,9.85,63.0
NCLH,9.47,64.0
LLY,8.78,65.0
PSX,8.72,66.5
DHR,8.72,66.5
AES,8.67,68.0
NEM,8.29,69.0
CCL,7.88,70.0
ATVI,7.82,71.0
GM,7.81,72.0
T,7.79,73.0
IPG,7.78,74.0
JNPR,7.53,75.0
HST,7.5,76.0
UAL,7.43,77.0
KMI,7.27,78.0
ADBE,7.18,79.0
RTX,7.13,80.0
CAT,7.08,81.0
CRM,6.92,82.5
WFC,6.92,82.5
PPL,6.82,84.0
FOX,6.63,85.0
RCL,6.59,86.0
GLW,6.53,87.0
ADI,6.48,88.0
C,6.33,89.0
SBUX,6.32,90.0
BKR,6.2,91.0
CFG,6.1,92.0
ALL,6.06,93.0
EXC,5.92,94.0
TFC,5.78,95.0
PARA,5.64,96.0
KEY,5.4,97.0
CNC,5.36,98.0
CAG,5.17,99.0
MRO,5.12,100.0
MTCH,4.77,101.0
FE,4.58,102.0
BBY,4.57,103.0
JNJ,4.46,104.5
MS,4.46,104.5
DISCK,4.44,106.0
WRK,4.29,107.0
CSCO,4.27,108.0
KR,4.21,109.0
F,4.19,110.0
IVZ,4.09,111.0
JPM,4.05,112.0
CF,3.97,113.0
WBA,3.92,114.0
TPR,3.89,115.0
SYF,3.85,116.0
EMR,3.47,117.0
SLB,3.26,118.0
DVN,3.15,119.0
VTRS,3.07,120.0
NLOK,3.04,121.0
SCHW,2.92,122.0
AAPL,2.86,123.0
GS,2.82,124.0
BAX,2.74,125.0
MOS,2.66,126.0
MU,2.57,127.0
AAL,2.51,128.0
ABT,2.1,129.0
LUV,1.98,130.0
PLD,1.96,131.0
KMB,1.92,132.0
LOW,1.87,133.0
WMT,1.85,134.0
MRNA,1.6,135.0
NVDA,1.46,136.0
XRAY,1.33,137.0
HPE,1.26,138.0
CL,1.1,139.0
XEL,0.92,140.0
MMM,0.82,141.0
INTC,0.6,142.0
MDLZ,0.56,143.0
BMY,0.46,144.5
WY,0.46,144.5
CZR,0.43,146.0
PYPL,0.39,147.0
DOW,0.28,148.0
NEE,0.2,149.0
HWM,0.13,150.0
FCX,0.03,151.0
GILD,-0.01,152.0
MCHP,-0.03,153.0
FDX,-0.12,154.0
MDT,-0.29,155.0
MSFT,-0.4,156.0
CVX,-0.43,157.0
TMUS,-0.69,158.0
AXP,-0.7,159.0
OXY,-0.77,160.5
PG,-0.77,160.5
UAA,-0.85,162.0
TSN,-0.92,163.0
NUE,-0.98,164.0
HPQ,-0.99,165.0
JCI,-1.29,166.0
LUMN,-1.32,167.0
PFE,-1.33,168.0
FANG,-1.42,169.0
O,-1.44,170.0
DE,-1.49,171.0
AMCR,-1.61,172.0
MNST,-1.96,173.0
NI,-2.08,174.0
CARR,-2.24,175.0
VFC,-2.73,176.0
DD,-2.77,177.0
UNP,-2.92,178.5
MGM,-2.92,178.5
SO,-2.93,180.0
APH,-3.13,181.5
AVGO,-3.13,181.5
D,-3.22,183.0
MCD,-3.61,184.0
AMAT,-3.75,185.0
IBM,-3.86,186.0
LMT,-3.88,187.0
MO,-3.96,188.0
DIS,-4.13,189.0
TSLA,-4.52,190.0
NRG,-4.53,191.5
FIS,-4.53,191.5
CTVA,-5.46,193.0
DLTR,-5.58,194.0
LYV,-5.81,195.0
AMD,-6.49,196.0
WYNN,-7.23,197.0
BA,-7.34,198.0
PEP,-7.94,199.0
FITB,-8.61,200.0
DAL,-10.71,201.0
MA,-12.49,202.0
HES,-14.19,203.0
PENN,-15.25,204.0
IP,-15.26,205.0
MPC,-18.44,206.0
FAST,-19.47,207.0
CNP,-20.18,208.0
FOXA,-21.09,209.0
