Stock,Accumulation/Distribution Value,Stocks_Ranked
F,11667454,1.0
T,8849843,2.0
MRO,4685426,3.0
AAL,3488565,4.0
BAC,3187585,5.0
CCL,2871765,6.0
FCX,2590095,7.0
VZ,2435081,8.0
KMI,2431609,9.0
LUMN,2174967,10.0
APA,2061808,11.0
HBAN,2008070,12.0
OXY,1812771,13.0
INTC,1776490,14.0
CSX,1742877,15.0
NCLH,1530180,16.0
WMB,1468667,17.0
GM,1410745,18.0
CMCSA,1380388,19.0
WFC,1295898,20.0
HPE,1152866,21.0
AMD,1130501,22.0
KO,1070146,23.0
DAL,1008571,24.0
HPQ,978973,25.0
XOM,976119,26.0
GPS,925304,27.0
HAL,869579,28.0
CTRA,848022,29.0
MGM,751244,30.0
MU,748111,31.0
AAPL,743827,32.0
BMY,714548,33.0
KEY,673863,34.0
DVN,642646,35.0
LUV,598408,36.0
C,537488,37.0
UAL,533925,38.0
PFE,528944,39.0
LVS,519314,40.0
MRK,515291,41.0
COP,477949,42.0
HST,477782,43.0
BSX,465450,44.0
WBA,446729,45.0
NEE,444163,46.0
RF,412262,47.0
NEM,388292,48.0
MPC,379417,49.0
CSCO,362294,50.0
NVDA,353047,51.0
JPM,335667,52.0
VIAC,322301,53.0
FB,309588,54.0
TJX,287614,55.0
TMUS,275631,56.0
BK,273038,57.0
QCOM,269821,58.0
CVX,265043,59.0
MS,253011,60.0
GILD,240074,61.0
ATVI,228487,62.0
ORCL,216444,63.0
MSFT,206353,64.0
GE,174501,65.0
NKE,159346,66.0
ABBV,136951,67.0
USB,135514,68.0
BA,128797,69.0
CVS,117163,70.0
PG,93905,71.0
PYPL,88042,72.0
V,79728,73.0
CRM,73777,74.0
CAT,72181,75.0
MRNA,57936,76.0
AMAT,49381,77.0
DIS,46436,78.0
UNH,32402,79.0
TSLA,22669,80.0
WMT,12336,81.0
