Stock,Accumulation/Distribution Value,Stocks_Ranked
F,5403212,1.0
AAL,4849549,2.0
T,3423618,3.0
MRO,3028435,4.0
KMI,2811779,5.0
HBAN,2789317,6.0
LUMN,2721836,7.0
CCL,2664122,8.0
BAC,2307139,9.0
AAPL,2237566,10.0
PFE,1993587,11.0
FCX,1751628,12.0
APA,1731948,13.0
CSX,1598326,14.0
MRK,1540103,15.0
INTC,1527162,16.0
HST,1487295,17.0
NCLH,1479867,18.0
GM,1459098,19.0
XOM,1384326,20.0
OXY,1308981,21.0
CMCSA,1235592,22.0
GPS,1196381,23.0
WMB,1189902,24.0
DAL,1056114,25.0
VZ,1053193,26.0
UAL,1044712,27.0
CTRA,915103,28.0
KO,906249,29.0
DVN,864395,30.0
AES,857824,31.0
KEY,857362,32.0
BMY,839072,33.0
HAL,784764,34.0
WFC,781883,35.0
C,637742,36.0
LVS,612945,37.0
ORCL,576598,38.0
CSCO,551941,39.0
COP,490287,40.0
MPC,442772,41.0
CVX,422988,42.0
AMD,422658,43.0
MOS,418476,44.0
NVDA,415210,45.0
MSFT,387098,46.0
MGM,373381,47.0
MS,356269,48.0
GLW,326767,49.0
HPE,325642,50.0
FB,312636,51.0
VIAC,276425,52.0
HPQ,250686,53.0
JPM,205817,54.0
QCOM,201837,55.0
ATVI,188168,56.0
NEM,184845,57.0
FAST,177433,58.0
BA,136576,59.0
NKE,120604,60.0
MRNA,116411,61.0
ABT,92999,62.0
AMAT,64875,63.0
TSLA,61760,64.0
MU,56510,65.0
