Stock,Accumulation/Distribution Value,Stocks_Ranked
CSCO,17.08,1.0
XRAY,9.97,2.0
FB,6.19,3.0
MPC,5.55,4.0
TSLA,5.45,5.0
NFLX,5.37,6.0
DISH,4.21,7.0
TMUS,3.59,8.0
PLD,3.33,9.0
BKR,3.3,10.0
AAPL,3.01,11.0
ABT,1.45,12.0
LUMN,1.43,13.0
COP,0.78,14.0
NLOK,0.77,15.0
OXY,0.61,16.0
WY,0.41,17.0
MS,0.35,18.0
HBAN,0.31,19.0
PPL,0.03,20.0
RTX,-0.12,21.0
CRM,-0.13,22.0
EOG,-0.43,23.0
BBWI,-0.47,24.0
CTRA,-0.56,25.0
BAC,-0.62,26.0
C,-0.71,27.0
LOW,-0.72,28.0
MO,-0.79,29.0
DOW,-0.8,30.0
TJX,-0.83,31.0
CSX,-1.02,32.0
GE,-1.13,33.5
MGM,-1.13,33.5
SO,-1.23,35.0
USB,-1.35,36.0
CVX,-1.39,37.0
JCI,-1.5,38.0
GILD,-1.55,39.0
WMT,-1.65,40.0
STT,-1.73,41.0
VTRS,-1.83,42.0
TWTR,-1.96,43.0
BSX,-2.04,44.5
EXPE,-2.04,44.5
CVS,-2.41,46.0
MOS,-2.46,47.0
MDT,-2.58,48.0
INTC,-2.79,49.0
KMI,-2.8,50.0
WMB,-2.92,51.0
TPR,-3.0,52.0
TTWO,-3.2,53.0
UA,-3.38,54.0
LVS,-3.45,55.0
PVH,-3.54,56.0
UPS,-3.56,57.0
XOM,-3.57,58.5
NVDA,-3.57,58.5
HST,-3.6,60.0
TFC,-3.7,61.0
RF,-3.83,62.0
KEY,-3.94,63.0
KR,-4.05,64.0
ATVI,-4.1,65.0
ICE,-4.11,66.0
WDC,-4.12,67.0
QCOM,-4.13,68.0
LUV,-4.19,69.0
KHC,-4.23,70.0
FITB,-4.48,71.0
APA,-4.5,72.0
V,-4.84,73.0
KO,-5.48,74.0
FAST,-5.5,75.0
NKE,-5.9,76.0
GLW,-5.96,77.0
CZR,-5.98,78.0
MCHP,-6.4,79.5
SYF,-6.4,79.5
AAL,-6.41,81.0
HAL,-6.63,82.0
XEL,-6.81,83.0
CNP,-6.86,84.0
UNH,-7.05,85.0
BK,-7.07,86.0
AMD,-7.37,87.0
DRE,-7.48,88.0
VLO,-7.64,89.0
BMY,-7.91,90.0
TXN,-8.09,91.0
MU,-8.51,92.0
PEAK,-8.66,93.0
EA,-8.78,94.0
PYPL,-9.4,95.0
KIM,-9.62,96.0
ADBE,-9.82,97.0
MDLZ,-9.89,98.0
MSFT,-10.05,99.0
PG,-10.1,100.0
AIG,-10.12,101.0
WBA,-10.44,102.0
EXC,-10.47,103.0
IR,-10.64,104.0
DVN,-10.67,105.0
MA,-10.74,106.0
PARA,-11.09,107.0
RCL,-11.44,108.0
CFG,-11.76,109.0
ETSY,-11.77,110.0
NWSA,-11.99,111.0
UAA,-12.11,112.0
F,-12.2,113.0
PENN,-12.21,114.0
AMCR,-12.38,115.0
ORCL,-12.46,116.0
DHI,-12.48,117.0
O,-12.82,118.0
WBD,-13.05,119.0
HD,-13.86,120.0
FCX,-14.54,121.0
BA,-14.7,122.0
CMCSA,-14.8,123.0
SLB,-14.93,124.0
AMAT,-15.72,125.0
CARR,-16.0,126.0
UAL,-16.05,127.0
HPQ,-17.82,128.0
VZ,-19.07,129.0
WYNN,-19.42,130.0
MTCH,-19.69,131.0
EBAY,-21.78,132.0
SBUX,-21.81,133.0
AMZN,-22.68,134.0
T,-23.03,135.0
MET,-24.56,136.0
SYY,-24.68,137.0
MRNA,-25.0,138.0
CF,-25.07,139.0
NCLH,-25.55,140.0
NEM,-25.8,141.0
HPE,-26.94,142.0
CCL,-27.63,143.0
PFE,-28.8,144.0
JPM,-29.29,145.0
NEE,-32.52,146.0
DAL,-34.54,147.0
SCHW,-35.38,148.0
WFC,-35.89,149.0
PEP,-36.56,150.0
JNJ,-38.37,151.0
NI,-55.09,152.0
MRK,-63.46,153.0
IBM,-63.58,154.0
DIS,-66.51,155.0
MRO,-68.13,156.0
ABBV,-117.58,157.0
PM,-261.39,158.0
GM,-459.69,159.0
